atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Marokau,0.5372,0.4764,0.532,0.4684,0.5504,0.5192,0.6552,0.5392,0.478,0.5896,0.4512,0.438,0.4364,0.4344,0.6056,0.4436,0.4028,0.6384,0.2028,0.5352,0.5288,0.5208,0.3788,0.4352,0.5224,0.4552,0.4396,0.5344,0.4672,0.5128,0.566,0.5384,0.4664,0.938,0.9528,0.6024,0.5228
Marutea_Nord,0.5684,0.562,0.6052,0.5584,0.6216,0.5756,0.6436,0.624,0.58,0.6092,0.476,0.4756,0.4844,0.5384,0.5344,0.4964,0.558,0.6036,0.3668,0.6424,0.604,0.5544,0.5364,0.388,0.532,0.4992,0.6,0.566,0.536,0.566,0.6152,0.6,0.4928,0.8684,0.8712,0.6088,0.5892
Meemu,0.5016,0.48,0.54,0.4736,0.4876,0.5708,0.4972,0.5,0.3688,0.2656,0.6444,0.6296,0.6304,0.356,0.4944,0.5864,0.2708,0.4328,0.3528,0.3268,0.5288,0.5296,0.212,0.608,0.53,0.6764,0.432,0.5,0.4868,0.5696,0.5084,0.542,0.6568,0.0348,0.0252,0.2816,0.552
Miladhunmadulu,0.5488,0.5688,0.5828,0.5536,0.5396,0.6332,0.6392,0.548,0.4056,0.2344,0.6772,0.6592,0.652,0.4036,0.6128,0.6236,0.3492,0.5208,0.3768,0.4224,0.5772,0.556,0.224,0.5768,0.562,0.6972,0.4756,0.5596,0.572,0.6424,0.524,0.5896,0.682,0.038,0.0232,0.3736,0.6352
Minicoy,0.6372,0.6124,0.5048,0.6088,0.4708,0.7168,0.3512,0.4692,0.4228,0.3144,0.8132,0.8172,0.824,0.4644,0.2984,0.7884,0.29,0.3848,0.5768,0.37,0.5116,0.6448,0.3824,0.5256,0.6552,0.8272,0.5256,0.656,0.6056,0.688,0.476,0.5068,0.8164,0.048,0.0352,0.2416,0.7016
Motutunga,0.4772,0.4752,0.5776,0.4748,0.588,0.4736,0.5552,0.5728,0.5708,0.5888,0.374,0.3668,0.3696,0.5404,0.4552,0.3988,0.6196,0.5388,0.4364,0.64,0.5772,0.4768,0.5512,0.2744,0.462,0.3924,0.5844,0.5028,0.4644,0.4692,0.5896,0.5564,0.3972,0.8464,0.856,0.5748,0.4812
Murilo,0.284,0.2412,0.1332,0.25,0.134,0.212,0.2748,0.1372,0.2328,0.3772,0.3052,0.2868,0.2816,0.4772,0.5432,0.2592,0.3948,0.4344,0.4464,0.4088,0.1384,0.2936,0.388,0.306,0.3132,0.2912,0.2176,0.2748,0.234,0.2176,0.1392,0.1464,0.2944,0.4276,0.6112,0.4884,0.2256
Namonuito,0.4876,0.5116,0.3004,0.5336,0.2892,0.4844,0.4844,0.304,0.3864,0.4056,0.5304,0.56,0.5532,0.6216,0.6284,0.5004,0.4884,0.5752,0.674,0.5504,0.3008,0.4908,0.546,0.4476,0.4776,0.5068,0.4548,0.472,0.522,0.5016,0.2964,0.3136,0.5184,0.2156,0.294,0.5948,0.502
Namorik,0.3504,0.3684,0.4008,0.3884,0.4132,0.3184,0.3792,0.3992,0.4404,0.4064,0.366,0.3812,0.3792,0.4336,0.5116,0.3572,0.4976,0.3776,0.6332,0.38,0.396,0.338,0.474,0.6412,0.3796,0.3592,0.3888,0.322,0.3936,0.3164,0.4252,0.4064,0.3564,0.1372,0.0984,0.4248,0.3128
Nanumanga,0.316,0.3756,0.6816,0.3916,0.7004,0.2808,0.496,0.7052,0.6148,0.4804,0.264,0.2716,0.266,0.3252,0.4952,0.3144,0.622,0.3508,0.5932,0.374,0.6944,0.3088,0.4588,0.8036,0.3676,0.2632,0.4444,0.3376,0.3864,0.2948,0.7208,0.6896,0.2612,0.1892,0.0812,0.4144,0.3008
