atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Reitoru,660,,,,1184,,,,,,,,,,,,78,,,,,,,,,,,,,,,1200,810,,,,612
Rongelap,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,-1,,,,-1,,,,-1
Rongerik,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,-1,,,,-1,,,,
Rose,56,1232,,,10,400000,14,,,,,,,,,-1,42,,,,,,,,,,,,,,,62,22,24,,24,320
Saloman,502,,4240,,246,,,,,,,6,154,50,,20,,,,,,,,,,,,,,,,,-1,,,8,892
Sapwuahfik,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,,,,,
Satawan,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,-1,-1
Scilly,36,176,,-1,303,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,10,48
Sorol,300,600,,,30,-1,,,,,,,12,200,,,10,,,,,,,,,,,,,,,,35,8,,200,500
St_Joseph,-1,,,,-1,-1,,-1,,,,500,15,-1,,-1,,,,,,,,,,,,,57310,,,-1,-1,,,-1,
Starbuck,,,,,,3000000,-1,,,,,,,,,,10,,,,,,,,,,,,,,,-1,,,,-1,-1
Suheli_Par,150,,,,,,,,,,,,,750,1000,,,,,,,,,,,,,,,,,,,,,,
Surprise,737,6200,,,,26774,,2,,,,,82,397,,,6,,,,,,,,,,,,55160,,,1587,378,250,,2507,3355
Suwarrow,544,140,,,,176088,,,,,,,,,,,764,,,,,,,,,,,,,,,8500,250,42,,150,1782
Swains,474,7092,,,4413,27,,,,,,,,,,3,,,,,,,,,,,,,,,,27,11,,,2,864
Tabiteuea,-1,-1,,,-1,,-1,,,,,,,-1,,,,,,,-1,,,,,,,,,,,-1,,,,-1,-1
Tabuaeran,2000,2000,,-1,2000,-1,,,,,,,,,,50,,,,,,,,,,,,,,,,,-1,,,-1,3000
Tahanea,860,540,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,310,60,,,55,175
Taiaro,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Taka,500,500,,,500,148000,,,,,,,-1,-1,,,-1,,,,,,,,,,,,-1,,,,-1,,,60,150
Takapoto,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Takaroa,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takume,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Takuu,100,1000,,,50,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,,-1,,,20,-1
Tarawa,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,-1,,,,,
Tatakoto,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tekokota,1068,11,,,505,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temitangi,-1,,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Temoe,200,10,,,500,,,,,,,,,2,,,582,,,,,,2,,448,,,,,,,,200,84,,3,450
Tenararo,100,100,,,100,,,,,,,,,,,,1600,,,,,,40,,40,,,,,,,,220,60,,-1,300
Teraina,-1,-1,,-1,2000,,,,,,,,,,,100,,,,,,,,,,,,,,,,,1000,-1,,-1,2000
Tetiaroa,-1,-1,,,-1,-1,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,-1,-1,,-1,-1
Tikehau,-1,-1,,-1,-1,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,-1
Toau,300,1300,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,150,100,,,150,500
Tongareva,-1,-1,,-1,-1,-1,,,,,,,-1,,,-1,-1,,,,,,,,,,,,,,,-1,,,,-1,-1
Tubbataha,1702,2876,,,,6000,,,,,,,,13376,,,,,,,,,,,,,,,,,,,,2,,3800,422
Tupai,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Tureia,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ujae,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Ujelang,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,,
Ulithi,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,-1,,,,,
Utirik,,,,,-1,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,
Vahanga,20,10,,,100,,,,,,,,,,,,20,,,,,,20,,20,,,,,,,,200,,,,100
Vairaatea,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaitupu,-1,-1,,,-1,-1,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,
Vanavana,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Wailagilala,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,-1
Wake,1000,2000,,,400,200000,60,,,,,,,,,5,100,2,6,,,,,,,,,,176,,,,225,70,,300,3000
Wotho,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,-1,
Wotje,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,
