atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Huon,4246.00,,,,,-1.00,,41.00,-1.00,,,,145.00,118.00,,,5.00,,,,,,,,,,,,22.00,,,,,244.00,,1500.00,
Jaluit,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,-1.00,,-1.00,,,,,,,,,,,,,-1.00,,,-1.00,-1.00,,,-1.00,-1.00
Jemo,-1.00,-1.00,,,-1.00,-1.00,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,,-1.00,,,-1.00,-1.00
Johnston,24000.00,600.00,,,840.00,500000.00,750.00,,,,,,,,,4.00,6500.00,,,,,,,,,,,90.00,4000.00,120.00,,,300.00,84.00,,1100.00,2480.00
Kademat,6600.00,,,,,9560.00,,,,,,,,150.00,50.00,,,,,,,,,,,,,,,,,,,,,,
Kapingamarangi,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,-1.00,,,-1.00,-1.00
Kauehi,-1.00,-1.00,,,-1.00,107000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00,-1.00
Kaukura,36434.00,-1.00,,,36434.00,,,,,,,,,,,,,,,,,,,,,,,,,,,36434.00,,,,36434.00,-1.00
Kavaratti,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilinailau,,,,,,,,,,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,,
Kiritimati,22000.00,100000.00,,570.00,2500.00,500000.00,850.00,,,,,,,350.00,,6.00,960.00,,,,350.00,,,,,,3050.00,,6250.00,5500.00,3600.00,100.00,800.00,25.00,,25.00,36000.00
