atoll,region,species,nbirds
Midway,Polynesia,Onychoprion_lunatus,2000.0
Pearl_and_Hermes,Polynesia,Onychoprion_lunatus,1860.0
Rawaki,Polynesia,Onychoprion_lunatus,16000.0
Wake,Micronesia,Onychoprion_lunatus,60.0
Peros_Banhos,Indian_Ocean,Onychoprion_anaethetus,52.0
Surprise,Melanesia,Onychoprion_anaethetus,2.0
Aldabra,Indian_Ocean,Hydroprogne_caspia,25.0
Europa,Indian_Ocean,Hydroprogne_caspia,30.0
Farquhar,Indian_Ocean,Sterna_dougallii,134.0
Ouvéa,Melanesia,Sterna_dougallii,2.0
Peros_Banhos,Indian_Ocean,Sterna_dougallii,14.0
Aldabra,Indian_Ocean,Sterna_sumatrana,160.0
Atafu,Polynesia,Sterna_sumatrana,60.0
Bellona,Melanesia,Sterna_sumatrana,20.0
Farquhar,Indian_Ocean,Sterna_sumatrana,224.0
Helen,Micronesia,Sterna_sumatrana,350.0
Ouvéa,Melanesia,Sterna_sumatrana,130.0
Peros_Banhos,Indian_Ocean,Sterna_sumatrana,66.0
Surprise,Melanesia,Sterna_sumatrana,82.0
Aldabra,Indian_Ocean,Thalasseus_bergii,150.0
Bangaram,Indian_Ocean,Thalasseus_bergii,200.0
Bellona,Melanesia,Thalasseus_bergii,108.0
Byramgore,Indian_Ocean,Thalasseus_bergii,50.0
Cherbaniani,Indian_Ocean,Thalasseus_bergii,1900.0
Farquhar,Indian_Ocean,Thalasseus_bergii,100.0
Helen,Micronesia,Thalasseus_bergii,7000.0
Kademat,Indian_Ocean,Thalasseus_bergii,150.0
Kiritimati,Polynesia,Thalasseus_bergii,350.0
Maupihaa,Polynesia,Thalasseus_bergii,94.0
Ouvéa,Melanesia,Thalasseus_bergii,500.0
Peremul_Par,Indian_Ocean,Thalasseus_bergii,70.0
Peros_Banhos,Indian_Ocean,Thalasseus_bergii,144.0
Suheli_Par,Indian_Ocean,Thalasseus_bergii,750.0
Surprise,Melanesia,Thalasseus_bergii,397.0
Temoe,Polynesia,Thalasseus_bergii,2.0
Tubbataha,Micronesia,Thalasseus_bergii,13376.0
Bangaram,Indian_Ocean,Thalasseus_bengalensis,150.0
Bitra_Par,Indian_Ocean,Thalasseus_bengalensis,4.0
