"","PC1","PC2","PC3","PC4","PC5","PC6","atoll","region","species","presence","cond"
"5354",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Pterodroma_hypoleuca",FALSE,"\d"
"5355",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Pterodroma_alba",FALSE,"\d"
"5356",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Bulweria_bulwerii",FALSE,"\d"
"5357",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Ardenna_pacifica",FALSE,"\w+"
"5358",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Puffinus_nativitatis",FALSE,"Polynesia|Micronesia"
"5359",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Puffinus_bailloni",FALSE,"\w+"
"5360",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Fregata_ariel",TRUE,"\w+"
"5361",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Fregata_minor",TRUE,"\w+"
"5362",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Sula_dactylatra",FALSE,"\w+"
"5363",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Sula_granti",FALSE,"\d"
"5364",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Sula_leucogaster",FALSE,"\w+"
"5365",-0.140114648293526,0.410680190936935,0.0400754870956736,-0.0213374831029321,0.289505794245358,0.135694702964085,"Reitoru","Polynesia","Sula_sula",TRUE,"\w+"
"5366",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Anous_stolidus",TRUE,"\w+"
"5367",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Anous_minutus",TRUE,"Melanesia|Micronesia|Polynesia"
"5368",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Anous_tenuirostris",FALSE,"Indian_Ocean"
"5369",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Anous_ceruleus",FALSE,"Melanesia|Micronesia|Polynesia"
"5370",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Gygis_alba",TRUE,"\w+"
"5371",-0.0160691673556982,0.0538609967456319,-0.424761150923191,0.376542461361498,-0.21765110391074,0.286199549904085,"Rongelap","Micronesia","Onychoprion_fuscatus",FALSE,"\w+"
