atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Lamotrek,0.9025,0.8145,0.001,0.0145,0.7665,0.17,0.019,0.0055,0.0005,0.003,0.002,0.0025,0.542,0.8,0.0005,0.1465,0.113,0.006,0.0085,0.003,0.0015,0.0,0.001,0.004,0.0,0.003,0.0015,0.006,0.046,0.0045,0.0,0.0355,0.5335,0.251,0.021,0.3275,0.2735
Laualau,0.2055,0.115,0.0055,0.0,0.4465,0.006,0.001,0.0445,0.018,0.0005,0.0005,0.0025,0.052,0.122,0.009,0.0265,0.065,0.004,0.003,0.0035,0.0015,0.0,0.0,0.0765,0.0005,0.0,0.0015,0.0015,0.028,0.0,0.004,0.1475,0.0705,0.033,0.0035,0.3395,0.08
Lib,0.9165,0.905,0.001,0.0385,0.896,0.26,0.031,0.0125,0.0025,0.003,0.003,0.0045,0.6415,0.849,0.002,0.221,0.171,0.0065,0.0115,0.004,0.0065,0.0005,0.0035,0.0025,0.001,0.0035,0.002,0.005,0.0915,0.012,0.0025,0.102,0.606,0.096,0.004,0.3845,0.413
Liot,0.2065,0.1295,0.005,0.0,0.4545,0.012,0.003,0.0435,0.0185,0.0015,0.0,0.007,0.0535,0.111,0.0085,0.037,0.075,0.0005,0.0025,0.0015,0.001,0.0,0.0005,0.0735,0.0005,0.0,0.001,0.001,0.0245,0.001,0.003,0.167,0.081,0.02,0.0015,0.3175,0.0805
Long_Reef,0.5455,0.364,0.005,0.003,0.503,0.039,0.0005,0.042,0.0245,0.0045,0.003,0.0275,0.2335,0.2795,0.0045,0.1165,0.068,0.003,0.004,0.0055,0.002,0.0005,0.0015,0.04,0.0,0.002,0.004,0.002,0.087,0.0005,0.0025,0.1795,0.2945,0.061,0.0055,0.4105,0.266
Maalhosmadulu,0.8705,0.0065,0.2805,0.006,0.506,0.2585,0.0025,0.182,0.0025,0.033,0.119,0.224,0.369,0.542,0.1425,0.3705,0.107,0.0,0.0015,0.005,0.0015,0.011,0.005,0.007,0.03,0.003,0.0075,0.015,0.043,0.0045,0.069,0.212,0.38,0.029,0.0035,0.1195,0.306
Makemo,0.55,0.7665,0.003,0.0585,0.8675,0.3945,0.5655,0.0035,0.0055,0.0015,0.0,0.0005,0.012,0.06,0.007,0.039,0.3535,0.0045,0.003,0.0075,0.0155,0.002,0.002,0.009,0.002,0.0025,0.062,0.003,0.0145,0.013,0.02,0.533,0.0705,0.1215,0.002,0.733,0.595
Makunudhoo,0.9455,0.0065,0.36,0.006,0.627,0.4045,0.002,0.214,0.005,0.052,0.266,0.515,0.6945,0.748,0.0975,0.6805,0.0945,0.002,0.003,0.006,0.007,0.01,0.0205,0.011,0.0495,0.01,0.0045,0.025,0.065,0.005,0.0835,0.255,0.644,0.0455,0.0015,0.099,0.452
Male,0.952,0.035,0.321,0.041,0.43,0.41,0.0165,0.2525,0.0135,0.1165,0.473,0.517,0.603,0.449,0.196,0.5665,0.0965,0.006,0.007,0.022,0.031,0.4235,0.0005,0.0085,0.166,0.126,0.0305,0.4425,0.1425,0.0375,0.175,0.2695,0.6575,0.276,0.1475,0.156,0.4235
Maloelap,0.941,0.931,0.003,0.0445,0.9345,0.275,0.126,0.012,0.003,0.001,0.0025,0.002,0.468,0.6845,0.005,0.1305,0.124,0.0035,0.01,0.002,0.007,0.001,0.0005,0.003,0.002,0.0,0.0015,0.005,0.1185,0.0155,0.0035,0.1165,0.481,0.0285,0.0035,0.4885,0.4425
Malum,0.6335,0.2315,0.008,0.002,0.539,0.028,0.0015,0.057,0.0175,0.003,0.003,0.038,0.2325,0.221,0.007,0.139,0.078,0.0005,0.0075,0.003,0.0035,0.0045,0.0005,0.0585,0.002,0.002,0.001,0.008,0.0495,0.0005,0.004,0.21,0.3065,0.0405,0.002,0.27,0.173
Manuae,0.949,0.9405,0.0005,0.1875,0.7335,0.722,0.0615,0.0,0.001,0.009,0.0055,0.0095,0.2545,0.375,0.0005,0.37,0.21,0.0165,0.0055,0.006,0.003,0.019,0.027,0.0065,0.005,0.022,0.008,0.024,0.0585,0.0525,0.0055,0.209,0.5575,0.8625,0.211,0.659,0.8755
Marokau,0.947,0.9165,0.0025,0.102,0.9005,0.739,0.285,0.0045,0.0045,0.008,0.001,0.0025,0.1305,0.1665,0.002,0.239,0.2685,0.0155,0.004,0.008,0.0085,0.006,0.0035,0.0035,0.002,0.01,0.0345,0.0215,0.031,0.0515,0.0135,0.5505,0.4,0.6485,0.0295,0.7115,0.8715
Marutea_Nord,0.9265,0.8725,0.0015,0.0755,0.9055,0.663,0.2115,0.003,0.0035,0.0035,0.001,0.0005,0.0935,0.1635,0.0015,0.186,0.2965,0.011,0.002,0.007,0.011,0.0055,0.0025,0.0035,0.0035,0.0075,0.032,0.014,0.017,0.0285,0.011,0.563,0.3395,0.4645,0.008,0.669,0.813
Meemu,0.9265,0.005,0.3065,0.0055,0.5515,0.3225,0.002,0.211,0.0015,0.04,0.221,0.4165,0.5915,0.673,0.1125,0.5765,0.125,0.0035,0.0035,0.0035,0.007,0.0145,0.0065,0.0075,0.0455,0.004,0.002,0.027,0.0525,0.002,0.073,0.198,0.55,0.034,0.0015,0.086,0.384
Miladhunmadulu,0.899,0.011,0.314,0.0145,0.502,0.3225,0.009,0.222,0.0025,0.0355,0.159,0.2885,0.424,0.548,0.172,0.3925,0.1425,0.0005,0.006,0.0105,0.0065,0.0175,0.0015,0.003,0.0375,0.006,0.0115,0.041,0.102,0.0035,0.0985,0.2285,0.419,0.0415,0.003,0.157,0.362
Minicoy,0.9705,0.012,0.3075,0.0115,0.5565,0.4715,0.001,0.228,0.003,0.0825,0.4805,0.6835,0.8255,0.7775,0.076,0.818,0.126,0.0025,0.004,0.005,0.0045,0.077,0.018,0.003,0.0945,0.0325,0.003,0.119,0.091,0.006,0.092,0.2435,0.7785,0.1135,0.0095,0.103,0.518
Motutunga,0.8945,0.8305,0.004,0.0465,0.913,0.614,0.1575,0.0025,0.005,0.002,0.0015,0.003,0.0795,0.18,0.0015,0.2005,0.3555,0.0115,0.002,0.005,0.014,0.0055,0.0015,0.0045,0.004,0.007,0.0205,0.0105,0.014,0.0235,0.014,0.6075,0.318,0.376,0.004,0.637,0.7885
Murilo,0.6545,0.7065,0.0005,0.0115,0.7275,0.1295,0.022,0.0085,0.0015,0.0025,0.002,0.001,0.3415,0.7815,0.0045,0.0755,0.1715,0.007,0.0075,0.004,0.004,0.0,0.0,0.003,0.0,0.0,0.0005,0.0005,0.036,0.004,0.001,0.0665,0.3445,0.1995,0.019,0.4065,0.2115
Namonuito,0.658,0.8025,0.001,0.0185,0.7305,0.1305,0.0355,0.008,0.0015,0.001,0.0015,0.0,0.3355,0.783,0.0025,0.0745,0.2275,0.0045,0.0165,0.003,0.0035,0.0,0.003,0.0025,0.001,0.001,0.0,0.0015,0.0745,0.0055,0.0,0.0765,0.319,0.093,0.012,0.4495,0.225
Namorik,0.83,0.7875,0.0005,0.011,0.8625,0.1035,0.027,0.0035,0.0025,0.0005,0.002,0.0005,0.338,0.6915,0.002,0.072,0.13,0.0025,0.0075,0.0,0.001,0.0,0.0015,0.0055,0.0005,0.0,0.0005,0.0025,0.0385,0.0035,0.0005,0.054,0.341,0.0355,0.001,0.307,0.184
Nanumanga,0.8215,0.7835,0.001,0.0455,0.8955,0.353,0.079,0.001,0.003,0.0025,0.0005,0.0,0.0395,0.094,0.0005,0.0975,0.3795,0.0025,0.0065,0.0035,0.0085,0.0005,0.0035,0.0105,0.0005,0.002,0.009,0.004,0.013,0.0075,0.012,0.4535,0.1785,0.061,0.0005,0.464,0.5435
Nanumea,0.8625,0.846,0.002,0.0665,0.925,0.4245,0.1005,0.0015,0.001,0.001,0.002,0.001,0.058,0.104,0.0015,0.1205,0.4035,0.004,0.0065,0.003,0.0125,0.004,0.0045,0.0115,0.001,0.004,0.0105,0.009,0.014,0.0145,0.017,0.568,0.217,0.0475,0.0,0.4805,0.6345
Ngulu,0.6325,0.83,0.0025,0.0325,0.6265,0.136,0.014,0.0105,0.0005,0.002,0.003,0.005,0.4185,0.824,0.0015,0.133,0.2555,0.0065,0.052,0.003,0.0035,0.003,0.009,0.0045,0.0005,0.004,0.0005,0.005,0.1095,0.0055,0.0015,0.069,0.4185,0.084,0.0095,0.3635,0.196
Nihiru,0.922,0.888,0.0025,0.0875,0.9195,0.6795,0.2135,0.0045,0.001,0.002,0.001,0.0005,0.09,0.159,0.001,0.2125,0.33,0.0105,0.003,0.0085,0.011,0.0065,0.007,0.006,0.0035,0.008,0.0315,0.0135,0.025,0.042,0.0145,0.57,0.332,0.433,0.0065,0.676,0.8315
Nikunau,0.984,0.9825,0.093,0.214,0.997,0.78,0.2885,0.2285,0.027,0.0075,0.018,0.0195,0.874,0.8325,0.0015,0.615,0.4075,0.0245,0.0225,0.018,0.129,0.008,0.009,0.008,0.008,0.009,0.033,0.057,0.4335,0.1115,0.026,0.7695,0.8485,0.013,0.0,0.501,0.859
Nomwin,0.695,0.676,0.0005,0.005,0.725,0.1025,0.0185,0.0025,0.0005,0.003,0.0,0.0,0.3235,0.754,0.003,0.0465,0.135,0.003,0.009,0.003,0.003,0.0,0.0005,0.0025,0.0,0.001,0.0005,0.0015,0.03,0.004,0.0,0.048,0.313,0.2235,0.0225,0.3685,0.18
Nui,0.724,0.5965,0.0,0.0205,0.794,0.212,0.0705,0.0005,0.001,0.0005,0.0005,0.0,0.0145,0.062,0.001,0.0425,0.3045,0.003,0.0025,0.0,0.004,0.0015,0.0005,0.007,0.0,0.0015,0.004,0.0,0.004,0.005,0.0065,0.3055,0.0875,0.124,0.0,0.4575,0.3845
Nukufetau,0.8015,0.656,0.0005,0.0175,0.7835,0.2475,0.0835,0.0005,0.001,0.0015,0.001,0.0,0.0265,0.0685,0.0025,0.048,0.2435,0.0025,0.0035,0.002,0.004,0.0015,0.0005,0.006,0.0005,0.001,0.005,0.0025,0.005,0.0045,0.007,0.246,0.115,0.1885,0.002,0.458,0.434
Olimarao,0.8535,0.8335,0.0005,0.0195,0.763,0.1345,0.0185,0.004,0.0005,0.004,0.0015,0.0025,0.4695,0.794,0.0015,0.1295,0.1455,0.006,0.008,0.0005,0.0015,0.0015,0.0025,0.0025,0.0005,0.0015,0.0005,0.001,0.055,0.005,0.001,0.047,0.4805,0.1655,0.009,0.3555,0.234
Pinipel,0.7745,0.2895,0.0135,0.003,0.5305,0.0345,0.0,0.099,0.03,0.0045,0.0075,0.0805,0.3645,0.2885,0.0055,0.2485,0.1015,0.002,0.006,0.0075,0.006,0.02,0.001,0.0525,0.0025,0.0085,0.0015,0.0265,0.0715,0.0015,0.0105,0.2495,0.431,0.046,0.0015,0.2075,0.1975
Pulap,0.7435,0.7005,0.001,0.009,0.7205,0.091,0.0255,0.0035,0.0015,0.002,0.001,0.0015,0.3395,0.7495,0.0015,0.077,0.1395,0.0055,0.008,0.0015,0.002,0.0,0.002,0.0045,0.0005,0.0015,0.001,0.0015,0.034,0.002,0.0025,0.041,0.3375,0.185,0.0115,0.339,0.1675
Pulusuk,0.724,0.634,0.0005,0.003,0.6125,0.072,0.009,0.0005,0.0005,0.002,0.001,0.001,0.305,0.713,0.003,0.0545,0.0935,0.0015,0.0065,0.0005,0.0,0.0005,0.0,0.001,0.0005,0.001,0.0,0.001,0.0175,0.003,0.0,0.0175,0.3125,0.272,0.025,0.2925,0.121
Puluwat,0.871,0.6975,0.001,0.008,0.759,0.1175,0.021,0.004,0.0005,0.002,0.0035,0.002,0.419,0.733,0.002,0.097,0.0915,0.0065,0.004,0.001,0.002,0.0005,0.0,0.0025,0.0,0.0025,0.0,0.002,0.0205,0.003,0.0005,0.038,0.433,0.3115,0.031,0.3265,0.206
Rasdhoo,0.8945,0.0085,0.3825,0.007,0.6695,0.349,0.0015,0.242,0.003,0.039,0.1885,0.3955,0.5925,0.7265,0.0975,0.5955,0.1445,0.002,0.0045,0.004,0.0065,0.0065,0.0135,0.008,0.0375,0.0035,0.0025,0.0105,0.045,0.001,0.0845,0.266,0.518,0.018,0.0005,0.084,0.4
Ravahere,0.963,0.922,0.001,0.1305,0.925,0.7955,0.2375,0.001,0.003,0.005,0.002,0.004,0.205,0.2165,0.0005,0.359,0.261,0.018,0.002,0.0065,0.0135,0.0065,0.004,0.005,0.0065,0.0145,0.0335,0.035,0.035,0.0725,0.02,0.58,0.54,0.7635,0.044,0.712,0.904
Redlick,0.413,0.259,0.0055,0.0005,0.4685,0.022,0.0005,0.0365,0.0145,0.003,0.001,0.015,0.148,0.217,0.007,0.0915,0.0605,0.002,0.0045,0.004,0.003,0.0005,0.0005,0.066,0.001,0.0,0.0015,0.002,0.046,0.001,0.003,0.1625,0.2165,0.0845,0.007,0.386,0.181
Rekareka,0.978,0.9375,0.0,0.1655,0.9055,0.8215,0.1695,0.002,0.006,0.0065,0.0075,0.0055,0.282,0.257,0.0015,0.4485,0.253,0.02,0.0045,0.0095,0.011,0.014,0.009,0.0085,0.009,0.023,0.028,0.044,0.0375,0.0785,0.0155,0.549,0.613,0.8175,0.0545,0.689,0.915
Ringgold,0.5305,0.562,0.007,0.0065,0.539,0.117,0.001,0.0635,0.0275,0.006,0.0065,0.08,0.396,0.5295,0.0075,0.238,0.0765,0.0065,0.0055,0.014,0.002,0.0005,0.01,0.0395,0.003,0.004,0.004,0.0045,0.1895,0.003,0.0025,0.238,0.4665,0.362,0.0985,0.578,0.4585
Rowa,0.296,0.543,0.001,0.005,0.257,0.0265,0.0025,0.0175,0.0135,0.0045,0.0015,0.0195,0.1465,0.259,0.0085,0.064,0.034,0.0025,0.0065,0.0045,0.0,0.001,0.005,0.1455,0.0015,0.0005,0.0005,0.0015,0.1985,0.0,0.0,0.069,0.188,0.277,0.068,0.5125,0.224
Sama,0.2115,0.14,0.0065,0.0,0.4515,0.009,0.0005,0.0365,0.023,0.0025,0.0,0.004,0.0525,0.124,0.0105,0.029,0.0775,0.0025,0.004,0.003,0.0015,0.0005,0.0,0.078,0.0,0.0,0.0015,0.0,0.0255,0.0,0.0025,0.176,0.0885,0.021,0.003,0.3305,0.0925
Samasuma,0.1915,0.122,0.0045,0.0005,0.4335,0.011,0.0035,0.038,0.0185,0.0015,0.001,0.003,0.059,0.1075,0.006,0.0255,0.076,0.0015,0.004,0.001,0.002,0.0005,0.0,0.0845,0.0015,0.0,0.0015,0.0005,0.0175,0.0,0.002,0.1715,0.076,0.0215,0.002,0.324,0.081
St_Francois,0.884,0.0065,0.566,0.005,0.7675,0.4315,0.0045,0.3405,0.01,0.059,0.194,0.3995,0.6115,0.7605,0.124,0.637,0.1785,0.0035,0.002,0.0095,0.0195,0.007,0.014,0.0055,0.0475,0.006,0.004,0.0105,0.054,0.0075,0.1515,0.4325,0.5525,0.0335,0.002,0.1135,0.492
Taenga,0.879,0.855,0.0015,0.0805,0.899,0.607,0.2695,0.001,0.0015,0.002,0.0005,0.0005,0.0645,0.114,0.0025,0.134,0.307,0.0075,0.002,0.004,0.0105,0.0055,0.002,0.0045,0.0025,0.005,0.023,0.006,0.019,0.023,0.014,0.564,0.247,0.3495,0.006,0.663,0.773
Tauere,0.982,0.9495,0.001,0.196,0.9075,0.8445,0.1895,0.003,0.0035,0.006,0.006,0.0065,0.316,0.2675,0.0015,0.4755,0.2345,0.023,0.004,0.0075,0.01,0.022,0.0115,0.01,0.012,0.0255,0.0225,0.052,0.053,0.0945,0.015,0.5625,0.623,0.8195,0.081,0.6875,0.929
Tenaruga,0.984,0.912,0.0015,0.127,0.8185,0.8485,0.165,0.0025,0.0045,0.0225,0.0065,0.007,0.3735,0.3265,0.003,0.5305,0.1485,0.04,0.0015,0.0115,0.0045,0.035,0.01,0.0065,0.0135,0.0375,0.0205,0.0815,0.0325,0.112,0.0085,0.416,0.723,0.983,0.5595,0.6905,0.933
Tepoto,0.9145,0.8235,0.003,0.0585,0.924,0.625,0.148,0.0025,0.0035,0.0055,0.0015,0.0015,0.107,0.1615,0.0005,0.233,0.357,0.0125,0.0045,0.006,0.0135,0.001,0.002,0.007,0.0025,0.0105,0.0215,0.013,0.012,0.026,0.0185,0.612,0.354,0.404,0.004,0.617,0.7865
