"","atoll","Anous_stolidus","Anous_minutus","Anous_tenuirostris","Anous_ceruleus","Gygis_alba","Onychoprion_fuscatus","Onychoprion_lunatus","Onychoprion_anaethetus","Sternula_nereis","Sternula_saundersi","Hydroprogne_caspia","Sterna_dougallii","Sterna_sumatrana","Thalasseus_bergii","Thalasseus_bengalensis","Phaethon_lepturus","Phaethon_rubricauda","Phoebastria_immutabilis","Phoebastria_nigripes","Phoebastria_albatrus","Nesofregetta_fuliginosa","Hydrobates_tristrami","Pterodroma_neglecta","Pterodroma_heraldica","Pterodroma_ultima","Pterodroma_hypoleuca","Pterodroma_alba","Bulweria_bulwerii","Ardenna_pacifica","Puffinus_nativitatis","Puffinus_bailloni","Fregata_ariel","Fregata_minor","Sula_dactylatra","Sula_granti","Sula_leucogaster","Sula_sula","PC1","PC2","PC3","PC4","PC5","PC6","region","species","presence"
"46","Europa",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.626214143759014,-0.777222226556825,0.895027299842041,-2.87943276973251,0.673589465480016,-1.62763042977028,"Indian_Ocean","Anous_stolidus",0
"47","Faaite",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.307379261975631,0.913717660741859,-0.659945125878864,0.314587009998214,0.599702376146977,-0.885655174143799,"Polynesia","Anous_stolidus",1
"48","Fakahina",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795495329269764,1.34153271720003,0.317540670943519,0.254894896982082,-0.481474410058572,1.19179505907248,"Polynesia","Anous_stolidus",1
"49","Fakaofo",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0514789748487148,0.376714719793953,-0.610872279248664,1.25464766179682,-1.1683329874391,0.705815433864755,"Polynesia","Anous_stolidus",1
"50","Fakarava",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.538847047574386,1.02888559891247,-1.4483322590377,0.14941545696723,0.17993508200386,-1.12344664449339,"Polynesia","Anous_stolidus",1
"51","Fangatau",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803118301986294,1.25839010526224,-0.124490863331841,0.231684707339869,-0.569154650130574,0.975014488804568,"Polynesia","Anous_stolidus",0
"52","Fangataufa",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1.46081073131433,1.06144559204083,-0.420135841407819,0.168834532132409,0.94184598766087,0.304635800031596,"Polynesia","Anous_stolidus",1
"53","Farquhar",1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.239418981000784,-0.548973617669672,0.319597981732527,-2.07086012087514,-0.348060577220595,-2.49892977049946,"Indian_Ocean","Anous_stolidus",1
"54","French_Frigate_Shoals",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1.59441427133425,0.475958197459799,0.0508446698242109,-1.91005426320078,0.040967690637961,0.0532053251675974,"Polynesia","Anous_stolidus",1
"55","Funafuti",1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.322552461709612,-0.0162616903612731,-0.853200474137498,0.812915906540204,-1.68878295688671,0.835414170944872,"Polynesia","Anous_stolidus",1
"56","Glorioso",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168727982808289,-0.686281461922553,0.468400278285431,-1.74892808654289,0.290421967260588,-1.39101604567578,"Indian_Ocean","Anous_stolidus",1
"57","Hao",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.273568214819628,1.64826408225989,-1.73950799676864,0.180122115106177,0.298411163488379,0.666183498851101,"Polynesia","Anous_stolidus",1
"58","Haraiki",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248529814562345,0.828335706392102,0.946058528082558,0.252322329111138,0.465357365831532,-0.756754008297214,"Polynesia","Anous_stolidus",1
"59","Helen",0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0794316873906601,-2.03365909933617,1.3746599004691,0.0845274911636479,0.598317685102855,2.11686050425078,"Micronesia","Anous_stolidus",0
"60","Hereheretui",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890061365725625,0.71368819867998,-0.12234982308756,-0.380406648181523,-0.48067998091349,-0.0637993160625608,"Polynesia","Anous_stolidus",1
"61","Huon",1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.49064539335768,-1.44098627681697,0.167300916907023,-1.9993743943153,1.77433115361865,-1.72848593264142,"Melanesia","Anous_stolidus",1
"62","Jaluit",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,-0.617828749878617,-0.618190759515791,-1.5948847578618,-0.708327271983479,-1.50433284097992,-0.907189647937806,"Micronesia","Anous_stolidus",1
"63","Jemo",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.645316143917638,-0.494868295488187,2.01096514579906,-0.220759316001237,0.502868493017525,0.999698245833698,"Micronesia","Anous_stolidus",1
"64","Johnston",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1.77461401706543,0.787124940452419,0.0768073891326021,-2.0221250825685,-1.22422799422567,-0.0569133661373961,"Polynesia","Anous_stolidus",1
"65","Kademat",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.523878189723974,-1.12352336641021,0.647490898349428,-1.32540888333323,0.307103131739257,1.15122068034538,"Indian_Ocean","Anous_stolidus",1
"66","Kapingamarangi",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.653109522331664,-0.217160742137464,-0.00822220342358486,0.915224637479332,-1.79087859081411,0.238623610467246,"Micronesia","Anous_stolidus",1
"67","Kauehi",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.472052120680741,1.13126060801683,-0.871720163798613,0.464769334439966,0.511114119451419,-0.635773791565718,"Polynesia","Anous_stolidus",1
"68","Kaukura",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-0.503509102175333,0.845677358052515,-0.97415575749706,0.17146481955331,0.403030048878993,-1.28582856229238,"Polynesia","Anous_stolidus",1
"69","Kavaratti",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.573853736582694,-0.924091227101888,0.815384192136769,-1.09432318807601,-0.0854727708463913,1.57091063535415,"Indian_Ocean","Anous_stolidus",0
"70","Kilinailau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43793768154203,-1.1989904144856,0.29718219881581,0.684348905146338,-0.37325927617529,-0.490913763852504,"Melanesia","Anous_stolidus",0
"71","Kiritimati",1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,-1.83061307548378,1.8515711590011,0.0796820607042126,-1.89402639980991,-1.48585001100711,-1.34294421776855,"Polynesia","Anous_stolidus",1
"72","Kure",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1.65068323514041,0.943145317293198,0.768352295311043,-1.82459589471464,1.40827191700861,1.30368683150097,"Polynesia","Anous_stolidus",1
"73","Kuria",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.87199255511937,0.619203043111086,1.91149542610069,-0.166067622211447,-0.240286400664812,-0.586036191399135,"Micronesia","Anous_stolidus",1
"74","Kwajalein",1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.00105901491918649,-0.341286328663848,-2.05201106274923,-1.23108339422795,-0.932471248543127,-0.700180573235994,"Micronesia","Anous_stolidus",1
"75","Lae",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442364178695095,-0.499340331094992,-0.357368226662894,-0.167849110257706,-0.523356206144953,0.210073401847716,"Micronesia","Anous_stolidus",1
"76","Laysan",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1.58112809974066,0.838875003090173,1.47466601901973,-1.49619051960525,-0.301124502937151,0.776890618096371,"Polynesia","Anous_stolidus",1
"77","Likiep",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.287509677810283,0.202496767935569,-1.12004911538215,-0.853133584981185,-0.328622587134877,0.320794474864946,"Micronesia","Anous_stolidus",1
"78","Losap",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516357243149069,-1.29142244021398,-0.558066788827452,1.50444211053256,-0.669779768929954,-0.0439912833301044,"Micronesia","Anous_stolidus",1
"79","Lukunor",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0102981049031741,-0.834305314425657,-0.926190110482579,1.76655546124542,0.694075293524125,1.08533310741735,"Micronesia","Anous_stolidus",1
"80","Maiana",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2.56756787638803,0.558715489854686,0.632115883593832,-0.629347187392472,-0.0282256595995584,-1.43511635970896,"Micronesia","Anous_stolidus",1
"81","Majuro",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.10032939275776,-0.379073776500739,-1.38158419508566,0.337406877118706,-0.439626446418216,0.800298041014027,"Micronesia","Anous_stolidus",1
"82","Malden",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-0.957612086950383,1.48259674021879,2.46190976003145,-0.874654639656739,-0.885671687005994,-1.48170813633835,"Polynesia","Anous_stolidus",1
