atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Olimarao,0.9444,0.91,0.0004,0.0272,0.7176,0.3102,0.008,0.0048,0.0014,0.0026,0.0044,0.0054,0.7244,0.8116,0.0002,0.2836,0.095,0.003,0.0072,0.001,0.002,0.0008,0.0026,0.0024,0.0006,0.0026,0.0012,0.0118,0.072,0.0132,0.0004,0.0384,0.7078,0.1046,0.01,0.236,0.484
Pinipel,0.3184,0.1914,0.0192,0.0004,0.5006,0.0116,0.0002,0.1108,0.0192,0.0012,0.0008,0.0158,0.1538,0.0788,0.0008,0.0802,0.028,0.0,0.0004,0.002,0.0142,0.001,0.0002,0.0206,0.0002,0.0002,0.0004,0.0006,0.03,0.0,0.0098,0.3604,0.11,0.0022,0.0002,0.0952,0.0758
Pulap,0.8628,0.8046,0.0006,0.0094,0.6716,0.1348,0.0134,0.0038,0.0006,0.0014,0.001,0.0014,0.4308,0.6974,0.0008,0.0968,0.0806,0.0036,0.0042,0.0002,0.0016,0.0004,0.001,0.0032,0.0004,0.0,0.0006,0.0036,0.0282,0.0028,0.0002,0.0318,0.4516,0.0494,0.0034,0.2586,0.2512
Pulusuk,0.8682,0.8002,0.0004,0.0108,0.6944,0.1448,0.012,0.003,0.001,0.0016,0.002,0.0014,0.4442,0.7234,0.001,0.114,0.096,0.0024,0.0062,0.001,0.0014,0.0002,0.0012,0.0034,0.0002,0.0004,0.0008,0.003,0.0264,0.0046,0.0002,0.033,0.4396,0.0654,0.0046,0.2616,0.2612
Puluwat,0.8636,0.7312,0.0008,0.0058,0.7252,0.108,0.0124,0.0042,0.0006,0.0014,0.0008,0.0016,0.3812,0.6618,0.0004,0.0684,0.0672,0.0014,0.0032,0.0008,0.0006,0.0002,0.0006,0.0038,0.0,0.0006,0.0004,0.0028,0.015,0.0028,0.0006,0.0304,0.383,0.087,0.0048,0.2488,0.2048
Rasdhoo,0.7518,0.0048,0.465,0.004,0.6612,0.2252,0.0002,0.233,0.0012,0.0202,0.084,0.255,0.4598,0.4602,0.0324,0.4672,0.0498,0.0,0.0006,0.0016,0.0046,0.0018,0.0086,0.0056,0.022,0.0008,0.0014,0.0054,0.016,0.0002,0.0764,0.3144,0.3946,0.002,0.0,0.047,0.3012
Ravahere,0.8784,0.7294,0.0016,0.051,0.8076,0.482,0.1378,0.0016,0.001,0.0036,0.001,0.0008,0.0688,0.1908,0.0042,0.1278,0.2418,0.028,0.0008,0.0116,0.0062,0.0068,0.0022,0.003,0.0024,0.0086,0.009,0.0202,0.0114,0.0304,0.0088,0.2612,0.344,0.9386,0.5078,0.7098,0.6914
Redlick,0.0992,0.0616,0.0014,0.0,0.2274,0.008,0.0002,0.0232,0.0188,0.0104,0.0002,0.0064,0.0728,0.1354,0.0004,0.0366,0.0658,0.0012,0.0006,0.0036,0.0004,0.0,0.0016,0.015,0.0006,0.0002,0.0012,0.0,0.0058,0.0,0.0012,0.0916,0.0478,0.1836,0.0394,0.2442,0.051
Rekareka,0.9438,0.8878,0.0054,0.1286,0.898,0.6614,0.1268,0.0032,0.003,0.0046,0.0018,0.0016,0.1388,0.297,0.0026,0.2488,0.3392,0.0304,0.0056,0.0134,0.0098,0.0108,0.0064,0.0132,0.0034,0.0124,0.0192,0.0344,0.0314,0.0596,0.0224,0.3906,0.443,0.901,0.3348,0.7102,0.8092
Ringgold,0.4838,0.4482,0.0018,0.0026,0.2616,0.0684,0.0,0.0222,0.0312,0.0192,0.0034,0.0732,0.4442,0.301,0.0016,0.264,0.0398,0.001,0.001,0.0018,0.0008,0.0004,0.0054,0.0298,0.0026,0.0004,0.0024,0.001,0.0752,0.0004,0.0016,0.0974,0.2922,0.2962,0.0858,0.3602,0.327
