atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Redlick,0.238,0.17,0.006,0.0,0.3784,0.0154,0.0008,0.0442,0.0362,0.0098,0.001,0.006,0.106,0.1522,0.0026,0.0538,0.0824,0.0018,0.001,0.0084,0.0034,0.0002,0.0012,0.0168,0.0006,0.0006,0.0014,0.0002,0.014,0.0002,0.0054,0.212,0.0596,0.2756,0.0634,0.32,0.0788
Rekareka,0.927,0.8176,0.0022,0.1084,0.8834,0.56,0.115,0.0022,0.0038,0.013,0.0028,0.004,0.1134,0.2614,0.0038,0.2136,0.371,0.037,0.0162,0.0152,0.0162,0.0208,0.0374,0.0178,0.0174,0.02,0.0238,0.0242,0.04,0.0766,0.0316,0.2728,0.432,0.6642,0.0992,0.6366,0.7842
Ringgold,0.6422,0.6124,0.007,0.005,0.412,0.1086,0.0008,0.0472,0.0528,0.0188,0.0056,0.0654,0.4896,0.3176,0.0044,0.2924,0.0472,0.0028,0.0038,0.0112,0.0048,0.001,0.0088,0.0374,0.0034,0.0018,0.006,0.0022,0.1154,0.0012,0.0038,0.2472,0.3008,0.3888,0.1136,0.4292,0.3836
Rowa,0.252,0.1784,0.0046,0.0008,0.3572,0.0222,0.0012,0.0416,0.0588,0.0324,0.0002,0.0088,0.1144,0.2314,0.0142,0.0572,0.0978,0.0054,0.0022,0.0148,0.0032,0.0004,0.006,0.09,0.0014,0.0002,0.0022,0.0008,0.0134,0.0004,0.005,0.181,0.0612,0.4972,0.185,0.5384,0.097
Sama,0.1632,0.1056,0.0074,0.0004,0.4836,0.0086,0.0004,0.0748,0.0414,0.008,0.001,0.005,0.0706,0.102,0.0042,0.034,0.0598,0.0006,0.0,0.004,0.0048,0.0,0.0004,0.0356,0.0004,0.0,0.0014,0.0004,0.0066,0.0002,0.007,0.275,0.0402,0.147,0.0206,0.2484,0.0562
Samasuma,0.1428,0.0856,0.0098,0.0002,0.4642,0.007,0.0002,0.0668,0.0378,0.0074,0.0006,0.0046,0.0566,0.0996,0.0038,0.0296,0.068,0.0012,0.0002,0.0042,0.007,0.0,0.0002,0.0286,0.0012,0.0,0.0012,0.0,0.005,0.0004,0.0066,0.2872,0.0362,0.142,0.0156,0.2754,0.0446
St_Francois,0.6466,0.0068,0.3944,0.0048,0.6316,0.3142,0.0006,0.217,0.0064,0.0596,0.0832,0.2068,0.4248,0.5688,0.0512,0.4534,0.135,0.0042,0.0022,0.0084,0.0062,0.0026,0.0244,0.0036,0.035,0.0036,0.0078,0.0036,0.0148,0.0034,0.094,0.2822,0.3198,0.091,0.0204,0.0834,0.3418
Taenga,0.8702,0.7636,0.0022,0.0788,0.8836,0.313,0.2234,0.0028,0.002,0.003,0.0008,0.001,0.037,0.1416,0.0112,0.078,0.3384,0.0158,0.0058,0.0094,0.018,0.0108,0.0062,0.0102,0.0086,0.0088,0.0188,0.0154,0.0248,0.028,0.0242,0.2814,0.2278,0.3308,0.0178,0.6764,0.6054
Tauere,0.9436,0.857,0.0022,0.1378,0.8824,0.579,0.1488,0.002,0.0032,0.0104,0.0024,0.004,0.1244,0.2442,0.0066,0.233,0.3366,0.029,0.013,0.0128,0.0176,0.0228,0.0274,0.0168,0.0166,0.0224,0.0304,0.0292,0.0532,0.0774,0.0228,0.2852,0.4644,0.6138,0.0682,0.69,0.8084
Tenaruga,0.8466,0.5454,0.0006,0.0328,0.6418,0.3212,0.0628,0.0006,0.0008,0.0138,0.003,0.0028,0.0688,0.1792,0.0034,0.112,0.1308,0.0366,0.0028,0.0082,0.0038,0.0112,0.008,0.0056,0.014,0.0134,0.0038,0.0152,0.0118,0.0314,0.0084,0.0926,0.3156,0.9328,0.521,0.5984,0.5914
Tepoto,0.7978,0.5674,0.0016,0.0406,0.8412,0.2834,0.0576,0.0016,0.0032,0.0066,0.001,0.0006,0.037,0.1708,0.0028,0.0816,0.4354,0.0204,0.007,0.013,0.014,0.0076,0.0192,0.005,0.0096,0.0096,0.016,0.0078,0.011,0.0242,0.023,0.226,0.2086,0.5506,0.0624,0.4954,0.5432
Thiladhunmathi,0.8474,0.0526,0.5356,0.0452,0.6836,0.4986,0.0062,0.2908,0.006,0.0186,0.2246,0.48,0.6822,0.5348,0.2026,0.6608,0.0426,0.0012,0.0014,0.0062,0.0154,0.0118,0.0088,0.0182,0.0582,0.0124,0.0146,0.0132,0.1246,0.0062,0.129,0.4296,0.5698,0.0048,0.0012,0.151,0.5288
Tuanake,0.7636,0.544,0.0012,0.0272,0.8466,0.2058,0.1258,0.002,0.0028,0.0046,0.001,0.0008,0.0186,0.1156,0.0064,0.0426,0.381,0.0182,0.0042,0.0104,0.0128,0.0084,0.0056,0.0032,0.0052,0.0058,0.0098,0.0058,0.0106,0.0204,0.0226,0.2094,0.1538,0.4788,0.0452,0.5718,0.4354
Vahitahi,0.967,0.921,0.0022,0.2314,0.8338,0.7154,0.1752,0.0022,0.0016,0.014,0.0086,0.0092,0.227,0.3192,0.0066,0.339,0.2574,0.036,0.0092,0.0158,0.0174,0.0476,0.0402,0.0186,0.0312,0.0528,0.0292,0.0636,0.0826,0.1376,0.0172,0.2314,0.6324,0.7742,0.1872,0.7286,0.8866
West_Fayu,0.9794,0.968,0.0022,0.0732,0.8898,0.531,0.0326,0.0148,0.005,0.0078,0.0108,0.0168,0.812,0.8516,0.001,0.389,0.1342,0.0074,0.0266,0.0038,0.0084,0.008,0.0114,0.005,0.0074,0.0078,0.0052,0.0206,0.1768,0.0326,0.0014,0.1226,0.7728,0.1334,0.0158,0.355,0.6734
Woleai,0.9752,0.972,0.0032,0.0756,0.8724,0.4638,0.0538,0.0128,0.0028,0.003,0.0088,0.0092,0.7726,0.7842,0.0042,0.3174,0.0638,0.0046,0.0106,0.0026,0.005,0.0062,0.0036,0.0072,0.0046,0.0066,0.0038,0.0228,0.1714,0.0198,0.0016,0.1214,0.7444,0.0564,0.0052,0.3774,0.5896
