atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula,,
Suwarrow,544,140,,,,176088,,,,,,,,,,,764,,,,,,,,,,,,,,,8500,250,42,,150,1782,,
Swains,474,7092,,,4413,27,,,,,,,,,,3,,,,,,,,,,,,,,,,27,11,,,2,864,,
Tabiteuea,P,P,,,P,,P,,,,,,,P,,,,,,,P,,,,,,,,,,,P,,,,P,P,,
Tabuaeran,2000,2000,,P,2000,P,,,,,,,,,,50,,,,,,,,,,,,,,,,,P,,,P,3000,,
Tahanea,860,540,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,310,60,,,55,175,,
Taiaro,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-999,,
Taka,500,500,,,500,148000,,,,,,,P,P,,,P,,,,,,,,,,,,P,,,,P,,,60,150,,
Takapoto,1000-9999,100-999,,,100-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-99,,
Takaroa,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takatoto,1000-9999,10-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takume,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,
Takuu,100,1000,,,50,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,,P,,,20,P,,
Tarawa,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,P,,,,,,,
Tekokota,1068,11,,,505,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temitangi,10-99,,,,10-99,,,,,,,,,,,,1-9,,,,,,,,,,,,,,,,,,,,,,
Temoe,200,10,,,500,,,,,,,,,2,,,582,,,,,,2,,448,,,,,,,,200,84,,3,450,,
Tenararo,100,100,,,100,,,,,,,,,,,,1600,,,,,,40,,40,,,,,,,,220,60,,P,300,,
Teraina,P,P,,P,2000,,,,,,,,,,,100,,,,,,,,,,,,,,,,,1000,P,,P,2000,,
Tetiaroa,P,P,,,P,P,P,,,,,,,P,,,,,,,,,,,,,,,,,,P,P,P,,P,P,,
Tikehau,1000-9999,1000-9999,,P,>1000,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,100-999,,
Toau,300,1300,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,150,100,,,150,500,,
Tongareva,100-999,100-999,,P,100-999,P,,,,,,,P,,,P,1-9,,,,,,,,,,,,,,,P,,,,1-9,P,,
Tubbataha,1702,2876,,,,6000,,,,,,,,13376,,,,,,,,,,,,,,,,,,,,2,,3800,422,,
Tupai,10-99,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-999,,
Tureia,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ujae,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,P,P,,
Ujelang,P,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,
Ulithi,P,P,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,P,,,,,,,
Utirik,,,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,
Vahanga,20,10,,,100,,,,,,,,,,,,20,,,,,,20,,20,,,,,,,,200,,,,100,,
Vairaatea,100-999,10-99,,,10-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaitupu,P,P,,,P,P,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,
Vanavana,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,
Wailagilala,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,P,,
Wake,1000,2000,,,400,200000,60,,,,,,,,,5,100,2,6,,,,,,,,,,176,,,,225,70,,300,3000,,
Wotho,P,P,,,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,P,,,
Wotje,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,
