parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
α_sxr[125],-0.7521356917856905,0.268761983668328,0.0020428643668443046,17362.976032938743,13969.301973999947,0.9999226250853972,2.882789217051555
α_sxr[126],-1.7892919231620814,0.29415531161030684,0.0021699049887597636,18569.29938757633,14108.981688871389,1.000038856553233,3.0830760775776254
α_sxr[127],-2.0452883955395795,0.3021643306655052,0.00209289123616214,20931.994733619427,15167.912067707472,0.9999568311009054,3.475356332634691
α_sxr[128],-0.577118354654864,0.25670190792563424,0.0018596869636001274,19072.53967189308,15767.927100843464,0.9998611118282408,3.166629476629846
α_sxr[129],-3.5217430849911375,0.43849129376462004,0.0026194880789027963,28718.06110970323,14835.215476925767,1.000270455788301,4.768083348420538
α_sxr[130],-3.1211101372675647,0.3907718600794737,0.002505450712524647,24912.635111126718,14569.269964889903,1.0001506975434833,4.136265334378893
α_sxr[131],-3.11853450822827,0.3946767508995265,0.0026116961727851093,23271.696269624492,15395.209080943288,0.9999775893377573,3.863818906465289
α_sxr[132],-3.190725642217699,0.4033186098450306,0.002566705381453372,25530.70542750635,14316.32917205345,1.000432277511677,4.23888405826924
α_sxr[133],-3.561363771436331,0.44684683950983106,0.002802598868638208,26138.861467604856,14799.508566220506,1.0002152881873896,4.3398567066997185
α_sxr[134],-3.070467768228388,0.3861220684323114,0.002485888605708282,24444.162087052584,14303.26052903847,1.0002232097632302,4.058484372191395
α_sxr[135],-2.63570276515312,0.44879121443018566,0.0044976472699906934,10465.419046411804,10915.686916689494,1.0006635892109474,1.737582147305171
α_sxr[136],-2.599389463273282,0.4560340158370336,0.004738628749983121,9635.381495615884,10239.599891899203,1.0003823018297402,1.5997703288333254
α_sxr[137],-3.2536283276039315,0.4108516852759979,0.0027700124583381384,22226.875647308865,14486.845438555758,1.0000313202221403,3.690346477657542
α_sxr[138],-2.5412340652290806,0.3387667574590959,0.0023430739734380517,21255.530399664258,15007.88456679285,1.0001494149568655,3.529073225846792
α_sxr[139],-3.8654281550539737,0.4947010051847581,0.0031194030100926925,26114.783855668386,14008.938816377065,1.000262252692585,4.335859080951049
α_sxr[140],-2.5576176593189004,0.34328356844626,0.002212382851163529,24472.058197289956,13649.799114111853,0.9999366306974827,4.063115986359232
