"","longitude","latitude","precip_anom","atoll","lat","long"
"203",148.75,8.75,-1.33999997004867,"Pulap",7.5901,149.422
"204",148.75,6.25,-2.98999993316829,"Pulusuk",6.6915,149.3024
"205",148.75,6.25,-2.98999993316829,"Puluwat",7.3592,149.1893
"206",181.25,-16.25,-1.52999996580184,"Qelelevu",-16.107,-179.281
"207",198.75,-11.25,0.939999978989363,"Rakahanga",-10.0165,-161.0896
"208",211.25,-16.25,0.759999983012676,"Rangiroa",-15.1224461,-147.546209
"209",216.25,-16.25,0.899999979883432,"Raraka",-16.1764,-144.8953
"210",218.75,-16.25,1.07999997586012,"Raroia",-16.0809,-142.4241
"211",73.75,3.75,0.749999983236194,"Rasdhoo",4.2921,72.9834
"212",218.75,-18.75,0.649999985471368,"Ravahere",-18.2358,-142.1475
"213",188.75,-3.75,6.07999986410141,"Rawaki",-3.7217,-170.7118
"214",223.75,-18.75,1.24999997206032,"Reao",-18.516,-136.3717
"215",153.75,-11.25,-2.89999993517995,"Redlick",-10.8735,152.5466
"216",216.25,-18.75,0.409999990835786,"Reitoru",-17.8555,-143.0744
"217",218.75,-16.25,1.07999997586012,"Rekareka",-16.834,-141.9218
"218",181.25,-16.25,-1.52999996580184,"Ringgold",-16.7177,-179.4503
"219",166.25,11.25,0.879999980330467,"Rongelap",11.1629026,166.8943033
"220",166.25,11.25,0.879999980330467,"Rongerik",11.356,167.4482
"221",191.25,-13.75,-1.12999997474253,"Rose",-14.5424865,-168.1637445
"222",168.75,-13.75,-2.24999994970858,"Rowa",-13.6239,167.5185
"223",71.25,-6.25,0.0199999995529652,"Saloman",-5.3303,72.246
"224",143.75,-1.25,-2.62999994121492,"Sama",-1.4032,144.0808
"225",143.75,-1.25,-2.62999994121492,"Samasuma",-1.481,144.0458
"226",156.25,6.25,-2.09999995306134,"Sapwuahfik",5.8161306,157.2477972
"227",153.75,6.25,-2.4099999461323,"Satawan",5.4915713,153.5423431
"228",206.25,-16.25,0.0499999988824129,"Scilly",-16.5434,-154.6841
"229",141.25,8.75,-2.50999994389713,"Sorol",8.123771,140.40636
"230",53.75,-6.25,0.96999997831881,"St_Francois",-7.1177,52.749
"231",53.75,-6.25,0.96999997831881,"St_Joseph",-5.4306,53.3358
"232",203.75,-6.25,3.91999991238117,"Starbuck",-5.6405,-155.8776
"233",71.25,11.25,-0.859999980777502,"Suheli_Par",10.0774,72.2915
"234",163.75,-18.75,-1.78999995999038,"Surprise",-18.4121,163.1109
"235",196.25,-13.75,-0.999999977648258,"Suwarrow",-13.2279,-163.1261
"236",188.75,-11.25,-0.119999997317791,"Swains",-11.052904,-171.0767349
"237",173.75,-1.25,6.05999986454844,"Tabiteuea",-1.4089,174.8694
"238",201.25,3.75,6.05999986454844,"Tabuaeran",3.872,-159.3170178
"239",216.25,-16.25,0.899999979883432,"Taenga",-16.3574,-143.1398
"240",216.25,-16.25,0.899999979883432,"Tahanea",-16.8646,-144.7778
"241",216.25,-16.25,0.899999979883432,"Taiaro",-15.7438,-144.6336
"242",168.75,11.25,0.759999983012676,"Taka",11.1520422,169.6179182
"243",213.75,-13.75,0.959999978542328,"Takapoto",-14.6323339,-145.1763392
"244",216.25,-13.75,1.25999997183681,"Takaroa",-14.4496,-144.9694
"245",218.75,-16.25,1.07999997586012,"Takume",-15.8099,-142.2098
"246",156.25,-3.75,0.61999998614192,"Takuu",-4.7537,156.9735
"247",173.75,1.25,5.46999987773597,"Tarawa",1.4387,172.9878
"248",221.25,-16.25,1.41999996826053,"Tatakoto",-17.3416,-138.3967
"249",218.75,-16.25,1.07999997586012,"Tauere",-17.3772,-141.506
"250",216.25,-16.25,0.899999979883432,"Tekokota",-17.3135,-142.5725
"251",218.75,-21.25,0.469999989494681,"Temitangi",-21.6803,-140.6266
"252",226.25,-23.75,0.939999978989363,"Temoe",-23.3466,-134.4779
"253",223.75,-21.25,0.96999997831881,"Tenararo",-21.3043,-136.7447
"254",223.75,-21.25,0.96999997831881,"Tenaruga",-21.3451,-136.542
"255",216.25,-16.25,0.899999979883432,"Tepoto",-16.8206,-144.2804
"256",198.75,3.75,5.7999998703599,"Teraina",4.6839252,-160.3783959
"257",211.25,-16.25,0.759999983012676,"Tetiaroa",-17.0162552,-149.5897766
"258",73.75,6.25,0.319999992847443,"Thiladhunmathi",6.7164,73.0161
"259",211.25,-16.25,0.759999983012676,"Tikehau",-15.0031,-148.1738
"260",213.75,-16.25,0.61999998614192,"Toau",-15.907,-146.0233
"261",201.25,-8.75,3.10999993048608,"Tongareva",-8.998556,-157.9715
"262",216.25,-16.25,0.899999979883432,"Tuanake",-16.6531,-144.2148
"263",118.75,8.75,-2.71999993920326,"Tubbataha",8.85,119.9333
"264",208.75,-16.25,0.459999989718199,"Tupai",-16.2623,-151.8165
"265",221.25,-21.25,0.61999998614192,"Tureia",-20.8293,-138.539
"266",166.25,8.75,0.0299999993294477,"Ujae",9.0812091,165.6122758
"267",161.25,8.75,-0.289999993517995,"Ujelang",9.8206101,160.9263437
"268",138.75,8.75,-2.70999993942678,"Ulithi",9.9613889,139.6036111
"269",168.75,11.25,0.759999983012676,"Utirik",11.2497,169.788
"270",223.75,-21.25,0.96999997831881,"Vahanga",-21.3321,-136.651
"271",221.25,-18.75,1.11999997496605,"Vahitahi",-18.7742,-138.8197
"272",221.25,-18.75,1.11999997496605,"Vairaatea",-19.3491,-139.2201
"273",178.75,-6.25,5.0499998871237,"Vaitupu",-7.2792,178.6782
"274",221.25,-21.25,0.61999998614192,"Vanavana",-20.7809,-139.1407
"275",181.25,-16.25,-1.52999996580184,"Wailagilala",-16.7732,-179.1073
"276",166.25,18.75,-0.159999996423721,"Wake",19.2960859,166.6269779
"277",146.25,8.75,-1.90999995730817,"West_Fayu",8.0743,146.7162
"278",143.75,6.25,-3.43999992311001,"Woleai",7.3462,143.8652
"279",166.25,8.75,0.0299999993294477,"Wotho",9.9562337,166.1363121
"280",171.25,8.75,0.169999996200204,"Wotje",9.438,170.0167
