"","longitude","latitude","precip_anom"
"278",8.75,-63.75,-0.109999997541308
"279",8.75,-66.25,-0.119999997317791
"280",8.75,-68.75,-0.0599999986588955
"281",8.75,-71.25,0.0499999988824129
"282",8.75,-73.75,0.0699999984353781
"283",8.75,-76.25,0
"284",8.75,-78.75,0
"285",8.75,-81.25,-0.00999999977648258
"286",8.75,-83.75,0
"287",8.75,-86.25,0
"288",8.75,-88.75,0.0399999991059303
"289",11.25,88.75,NA
"290",11.25,86.25,NA
"291",11.25,83.75,NA
"292",11.25,81.25,NA
"293",11.25,78.75,NA
"294",11.25,76.25,NA
"295",11.25,73.75,NA
"296",11.25,71.25,NA
"297",11.25,68.75,NA
"298",11.25,66.25,0.219999995082617
"299",11.25,63.75,0.189999995753169
"300",11.25,61.25,0.00999999977648258
"301",11.25,58.75,0
"302",11.25,56.25,0.109999997541308
"303",11.25,53.75,0.159999996423721
"304",11.25,51.25,0.0999999977648258
"305",11.25,48.75,-0.0299999993294477
"306",11.25,46.25,0.0699999984353781
"307",11.25,43.75,0.219999995082617
"308",11.25,41.25,0.0299999993294477
"309",11.25,38.75,0.149999996647239
"310",11.25,36.25,0.0299999993294477
"311",11.25,33.75,-0.0199999995529652
"312",11.25,31.25,0.0199999995529652
"313",11.25,28.75,0.0399999991059303
"314",11.25,26.25,0.0299999993294477
"315",11.25,23.75,0.00999999977648258
"316",11.25,21.25,0.00999999977648258
"317",11.25,18.75,0.00999999977648258
"318",11.25,16.25,-0.0399999991059303
"319",11.25,13.75,-0.189999995753169
"320",11.25,11.25,-0.249999994412065
"321",11.25,8.75,-0.00999999977648258
"322",11.25,6.25,-0.159999996423721
"323",11.25,3.75,-0.679999984800816
"324",11.25,1.25,-0.899999979883432
"325",11.25,-1.25,-1.03999997675419
"326",11.25,-3.75,-0.509999988600612
"327",11.25,-6.25,0.0399999991059303
"328",11.25,-8.75,-0.0599999986588955
"329",11.25,-11.25,0.0299999993294477
"330",11.25,-13.75,0.0799999982118607
"331",11.25,-16.25,0.0299999993294477
"332",11.25,-18.75,0.0299999993294477
"333",11.25,-21.25,0.0299999993294477
"334",11.25,-23.75,0.0399999991059303
"335",11.25,-26.25,0.0299999993294477
"336",11.25,-28.75,0.0299999993294477
"337",11.25,-31.25,0.0599999986588955
"338",11.25,-33.75,0.0799999982118607
"339",11.25,-36.25,0.149999996647239
"340",11.25,-38.75,0.0999999977648258
"341",11.25,-41.25,0.239999994635582
"342",11.25,-43.75,0.0799999982118607
"343",11.25,-46.25,0.0799999982118607
"344",11.25,-48.75,0.0599999986588955
"345",11.25,-51.25,0.129999997094274
"346",11.25,-53.75,0.0499999988824129
"347",11.25,-56.25,-0.0199999995529652
"348",11.25,-58.75,-0.0699999984353781
"349",11.25,-61.25,-0.0699999984353781
"350",11.25,-63.75,-0.0999999977648258
"351",11.25,-66.25,-0.0899999979883432
"352",11.25,-68.75,-0.0299999993294477
"353",11.25,-71.25,0.299999993294477
"354",11.25,-73.75,0.0699999984353781
"355",11.25,-76.25,0
"356",11.25,-78.75,0
"357",11.25,-81.25,0
"358",11.25,-83.75,0
"359",11.25,-86.25,0
"360",11.25,-88.75,0
"361",13.75,88.75,NA
"362",13.75,86.25,NA
"363",13.75,83.75,NA
"364",13.75,81.25,NA
"365",13.75,78.75,NA
"366",13.75,76.25,NA
"367",13.75,73.75,NA
"368",13.75,71.25,NA
"369",13.75,68.75,NA
"370",13.75,66.25,-0.149999996647239
"371",13.75,63.75,0.0199999995529652
"372",13.75,61.25,0.0399999991059303
"373",13.75,58.75,-0.0299999993294477
"374",13.75,56.25,-0.0299999993294477
"375",13.75,53.75,0.0799999982118607
"376",13.75,51.25,0.169999996200204
"377",13.75,48.75,0.0199999995529652
"378",13.75,46.25,0
"379",13.75,43.75,0.109999997541308
"380",13.75,41.25,-0.0699999984353781
"381",13.75,38.75,0.159999996423721
"382",13.75,36.25,0.0499999988824129
"383",13.75,33.75,-0.0499999988824129
"384",13.75,31.25,0.0299999993294477
"385",13.75,28.75,0.0499999988824129
"386",13.75,26.25,0.00999999977648258
"387",13.75,23.75,0
"388",13.75,21.25,0.00999999977648258
"389",13.75,18.75,0
"390",13.75,16.25,-0.0399999991059303
"391",13.75,13.75,-0.169999996200204
"392",13.75,11.25,-0.289999993517995
"393",13.75,8.75,-0.0299999993294477
"394",13.75,6.25,-0.139999996870756
"395",13.75,3.75,-0.439999990165234
"396",13.75,1.25,-0.529999988153577
"397",13.75,-1.25,-0.829999981448054
"398",13.75,-3.75,-0.209999995306134
"399",13.75,-6.25,-0.179999995976686
"400",13.75,-8.75,0
"401",13.75,-11.25,0.219999995082617
"402",13.75,-13.75,0.189999995753169
"403",13.75,-16.25,-0.159999996423721
"404",13.75,-18.75,-0.169999996200204
"405",13.75,-21.25,-0.0299999993294477
"406",13.75,-23.75,0.0199999995529652
"407",13.75,-26.25,0
"408",13.75,-28.75,0.00999999977648258
"409",13.75,-31.25,0.0499999988824129
"410",13.75,-33.75,0.0499999988824129
