atoll,region,species,mean,lower005,upper095
Analtin,Melanesia,Onychoprion_fuscatus,0.05908724460525884,0.013572175420342721,0.1443992464895329
Analtin,Melanesia,Onychoprion_lunatus,0.06244739971634158,0.012034536904030078,0.16110563219054833
Analtin,Melanesia,Onychoprion_anaethetus,0.1223504359549436,0.02737056137977941,0.2988859946122383
Analtin,Melanesia,Sternula_nereis,0.16257361682897326,0.04079657941398188,0.366614416014948
Analtin,Melanesia,Sternula_saundersi,0.07130348063357977,0.012964542029903157,0.18940082099319955
Analtin,Melanesia,Hydroprogne_caspia,0.027205105512132535,0.004777577451566376,0.07458755818670815
Analtin,Melanesia,Sterna_dougallii,0.040501625916524446,0.008432991084494221,0.10427857065538776
Analtin,Melanesia,Sterna_sumatrana,0.22491829907703315,0.07121834518700315,0.45574510921467004
Analtin,Melanesia,Thalasseus_bergii,0.231531113231157,0.07106133025283976,0.4773676930534811
Analtin,Melanesia,Thalasseus_bengalensis,0.08052617084906942,0.017459965447089124,0.19941413503537356
Analtin,Melanesia,Phaethon_lepturus,0.1246131077364767,0.032908278697774934,0.2800212470813525
Analtin,Melanesia,Phaethon_rubricauda,0.178996522474787,0.051500305725364307,0.3803868628045796
Analtin,Melanesia,Phoebastria_immutabilis,0.07087506058400629,0.012586028237387307,0.19051054686629845
Analtin,Melanesia,Phoebastria_nigripes,0.030205259761522104,0.005587624480413667,0.08066116212834759
Analtin,Melanesia,Phoebastria_albatrus,0.08748267708606264,0.01600946967238978,0.22905208286923293
Analtin,Melanesia,Nesofregetta_fuliginosa,0.08359389872185072,0.01687515692418031,0.20626484659239683
Analtin,Melanesia,Hydrobates_tristrami,0.039252870782586165,0.006814266845871857,0.103228491179622
Analtin,Melanesia,Pterodroma_neglecta,0.019881217372024584,0.003564125503238452,0.053897770653196356
Analtin,Melanesia,Pterodroma_heraldica,0.09096065493975981,0.020509086196849973,0.21836949462200617
Analtin,Melanesia,Pterodroma_ultima,0.05188072242049135,0.0089009380527194,0.14199025802676238
Analtin,Melanesia,Pterodroma_hypoleuca,0.030144832972464498,0.005230915409045896,0.08095235923501944
Analtin,Melanesia,Pterodroma_alba,0.03322499398734807,0.006346259506017204,0.08655136315975237
Analtin,Melanesia,Bulweria_bulwerii,0.04309020254917349,0.006983386447597181,0.12163803367566525
Analtin,Melanesia,Ardenna_pacifica,0.058358892927436956,0.012500437919838295,0.14215771907281827
Analtin,Melanesia,Puffinus_nativitatis,0.019294316518517977,0.0031912856407227417,0.05290131956166381
Analtin,Melanesia,Puffinus_bailloni,0.07490192984693993,0.01525218697415018,0.18498581122622795
Analtin,Melanesia,Fregata_ariel,0.40591191192665854,0.1552717767899256,0.7006484406748271
Analtin,Melanesia,Fregata_minor,0.14582926307498692,0.039814172989221415,0.324045158969909
Analtin,Melanesia,Sula_dactylatra,0.23492047922402212,0.05864264706983123,0.5150944267155413
Analtin,Melanesia,Sula_granti,0.1208630017092803,0.02270127299807887,0.312226786868497
Analtin,Melanesia,Sula_leucogaster,0.39360133685525556,0.1545144498416358,0.677623302633702
Analtin,Melanesia,Sula_sula,0.18320352767878903,0.056219692247128146,0.3858147613569774
Ari,Indian_Ocean,Anous_stolidus,0.6260940954251651,0.35952686617906804,0.8514325594996413
Ari,Indian_Ocean,Anous_minutus,0.10947594626823605,0.0248933645095139,0.26200021088642905
