atoll,species,mean,lower,upper
Napuka,Anous_stolidus,3567.0903046286535,59.34714714631752,13061.200388104771
Nengonengo,Anous_stolidus,3394.7107341389183,66.16315244775159,11746.227756039576
Ngcheangel,Anous_stolidus,331.0707330970758,3.2064102465541184,1198.7198460989994
Niau,Anous_stolidus,1551.7943624305365,35.32849428937271,6188.105955897195
Ninigo,Anous_stolidus,1196.8547427278259,16.656890177272764,4692.699704630029
Niutao,Anous_stolidus,2339.9645775982726,44.83902489095813,9329.085471903378
Nonouti,Anous_stolidus,4275.595960593445,70.85774725835981,17346.516375513485
Nuguria,Anous_stolidus,1254.6863477604118,15.125201655426196,4588.027894226938
Nukapu,Anous_stolidus,254.95962275762614,3.4183678012161347,977.4610978830021
Nukulaelae,Anous_stolidus,2847.5100171243907,54.24393019640345,10789.10746741419
Nukumanu,Anous_stolidus,1627.3062118042478,25.70616870386498,6566.385672980347
Nukuoro,Anous_stolidus,1182.488030153499,17.484239515631003,4443.749376784459
Nukutepipi,Anous_stolidus,1748.808798958888,37.783228035983406,6884.3420043067445
Onotoa,Anous_stolidus,3946.0530706594623,68.37226372708602,14103.586086560479
Ontong_Java,Anous_stolidus,1866.5661172204345,25.311856873691546,7335.911802322959
Oroluk,Anous_stolidus,1114.4970318212575,19.945635185447617,4489.3026682555255
Pakin,Anous_stolidus,218.96823686724278,2.4431612876492244,797.1207183689895
Palmerston,Anous_stolidus,5741.402644232053,101.67415167618792,23020.551585882688
Paraoa,Anous_stolidus,2165.831063076363,46.430025896969745,8575.185483780113
Pinaki,Anous_stolidus,2062.671942430725,41.71985789713497,8289.24937910614
Pingelap,Anous_stolidus,748.0088666706613,11.882748751409961,2823.860772262257
Pukapuka,Anous_stolidus,1870.7736051461375,33.51010537093765,7348.689537174938
Pukarua,Anous_stolidus,3104.1572747717746,50.08264618009404,12018.828958257342
Qelelevu,Anous_stolidus,1013.0282359290513,16.46864723784205,4020.490472436882
Rakahanga,Anous_stolidus,1474.8101842570377,30.915393535662204,5838.892949262563
Rangiroa,Anous_stolidus,1819.1723754362336,26.68598067671973,7110.634248858327
Raroia,Anous_stolidus,2974.8595870026743,47.77458980524281,11726.322928607127
Reao,Anous_stolidus,3419.229095143446,53.29672621362579,12450.385402130738
Rongelap,Anous_stolidus,3043.7657310031054,57.61797810589946,12203.86522220341
Sapwuahfik,Anous_stolidus,655.5238775975583,9.872502209432017,2608.4083838743572
Satawan,Anous_stolidus,572.3869224888915,7.628235328785067,2155.899477614737
St_Joseph,Anous_stolidus,1847.5647687077635,37.472079101587894,6984.589676761002
Tabiteuea,Anous_stolidus,5600.273461216111,87.17204047074516,21816.356030111874
Taiaro,Anous_stolidus,1629.837811647314,33.449852332355476,6157.2426439324845
Takapoto,Anous_stolidus,1556.9793398915333,31.280548958779832,6256.150482608099
Takaroa,Anous_stolidus,2350.3399571394125,47.10138416426224,9313.947202814252
Tarawa,Anous_stolidus,2252.721870902368,24.252341514462987,7817.9573194163795
Tatakoto,Anous_stolidus,5378.818066183746,95.26061770656267,21218.574391793885
Temitangi,Anous_stolidus,6554.821096001116,132.59932966905836,24655.88938351399
Teraina,Anous_stolidus,6095.51553933528,111.68713628250985,23731.340826897547
Tikehau,Anous_stolidus,1546.429440218674,24.87300347549952,6023.06323349756
Tongareva,Anous_stolidus,5738.285172981401,111.9723343877366,22419.09511012195
Tupai,Anous_stolidus,745.8390951975655,10.196707960577069,2954.3413769740678
Tureia,Anous_stolidus,3049.2151285701966,64.24226181062355,11868.879582413876
Ujae,Anous_stolidus,2563.089701988524,51.88643151671238,9572.021911451062
