atoll,region,species,mean,lower005,upper095
Pinipel,Melanesia,Nesofregetta_fuliginosa,0.08244778927604379,0.010986643347076885,0.23631669480021264
Pinipel,Melanesia,Hydrobates_tristrami,0.053063482797984424,0.005861421767680989,0.16556769049706446
Pinipel,Melanesia,Pterodroma_neglecta,0.016715987397693706,0.0022126774090167564,0.050390576479948296
Pinipel,Melanesia,Pterodroma_heraldica,0.1300807318639248,0.02258475149442661,0.341596420019716
Pinipel,Melanesia,Pterodroma_ultima,0.05829649710461973,0.007097996214053866,0.1783115899566955
Pinipel,Melanesia,Pterodroma_hypoleuca,0.061603023605695556,0.007538334484578788,0.18603497169795755
Pinipel,Melanesia,Pterodroma_alba,0.05214903949544444,0.00709588806296211,0.15168270466082331
Pinipel,Melanesia,Bulweria_bulwerii,0.057566989132841126,0.005852036149784334,0.1860378830867565
Pinipel,Melanesia,Ardenna_pacifica,0.1061689217412081,0.02028461546164985,0.2707284897632264
Pinipel,Melanesia,Puffinus_nativitatis,0.039420103580465854,0.004717548663016529,0.1190498685029292
Pinipel,Melanesia,Puffinus_bailloni,0.08515846058791395,0.012031621452729284,0.24142826000763565
Pinipel,Melanesia,Fregata_ariel,0.3822579324859316,0.09718049670119239,0.7442701093026654
Pinipel,Melanesia,Fregata_minor,0.24534125921751537,0.056729900993973376,0.5474859610645432
Pinipel,Melanesia,Sula_dactylatra,0.09469653604080826,0.0071573460732944245,0.31172642505037645
Pinipel,Melanesia,Sula_granti,0.039498654043260834,0.0023541897769585366,0.14219119593798699
Pinipel,Melanesia,Sula_leucogaster,0.270513711868746,0.06672771152747305,0.581946105632528
Pinipel,Melanesia,Sula_sula,0.2947935015108041,0.07584781004843644,0.6069593351617071
Pulap,Micronesia,Anous_stolidus,0.8663898466175666,0.7336192206209267,0.9538952580540714
Pulap,Micronesia,Anous_minutus,0.8233080289388374,0.6721083818076425,0.929612841248026
Pulap,Micronesia,Anous_tenuirostris,0.024873065456851022,0.006378440310114533,0.057375579877322745
Pulap,Micronesia,Anous_ceruleus,0.038837455516773485,0.01260501769556405,0.08184873224618577
Pulap,Micronesia,Gygis_alba,0.7959618963405863,0.6204662729461432,0.9199031093668136
Pulap,Micronesia,Onychoprion_fuscatus,0.2353126143412634,0.11297027332835514,0.38606396426981265
Pulap,Micronesia,Onychoprion_lunatus,0.051521496852905,0.018376204587754047,0.10339290904677138
