atoll,region,species,mean,lower005,upper095
Pulusuk,Micronesia,Pterodroma_hypoleuca,0.003059914255836106,4.8539270079327626e-5,0.012318527583532564
Pulusuk,Micronesia,Pterodroma_alba,0.0019147921282220146,3.978840783976699e-5,0.007345291577253636
Pulusuk,Micronesia,Bulweria_bulwerii,0.006523141907783604,0.00016266861161692413,0.02547708163721047
Pulusuk,Micronesia,Ardenna_pacifica,0.03843097236686497,0.006209340126797861,0.10333616799449252
Pulusuk,Micronesia,Puffinus_nativitatis,0.006016274755987828,0.0003764891743744426,0.020820355253338585
Pulusuk,Micronesia,Puffinus_bailloni,0.0015632733341766174,1.2918027252284716e-5,0.006675271523760335
Pulusuk,Micronesia,Fregata_ariel,0.04880366354064411,0.003702226714840431,0.15631631914017843
Pulusuk,Micronesia,Fregata_minor,0.41939937375433683,0.1180149753597586,0.7615029416677108
Pulusuk,Micronesia,Sula_dactylatra,0.07004360402867667,0.0031632356287812015,0.2507315767429449
Pulusuk,Micronesia,Sula_granti,0.01074514350562186,7.809186307154503e-5,0.047373535001884064
Pulusuk,Micronesia,Sula_leucogaster,0.34926389982396966,0.0901671991290976,0.6828729167881482
Pulusuk,Micronesia,Sula_sula,0.2591180000108566,0.061341779006528346,0.5473196503016196
Puluwat,Micronesia,Anous_stolidus,0.8890129624882875,0.6845557933230444,0.9855542820269897
Puluwat,Micronesia,Anous_minutus,0.7743091636975353,0.5339770849974436,0.9377453655290856
Puluwat,Micronesia,Anous_tenuirostris,0.0016733987667571575,3.3033453097054505e-5,0.006432594161054943
Puluwat,Micronesia,Anous_ceruleus,0.005884765634982383,0.0008800408250203374,0.016273354639247437
Puluwat,Micronesia,Gygis_alba,0.7462263048454911,0.4469337809652679,0.9377636307936005
Puluwat,Micronesia,Onychoprion_fuscatus,0.11431754520824848,0.03587074242149058,0.236372571601339
Puluwat,Micronesia,Onychoprion_lunatus,0.014593838555044448,0.0032227724007145,0.03593309328846611
Puluwat,Micronesia,Onychoprion_anaethetus,0.0018723596970428964,3.817877862944387e-5,0.007204882115729532
Puluwat,Micronesia,Sternula_nereis,0.0027026419536450045,6.392025766930028e-5,0.010234620898306323
Puluwat,Micronesia,Sternula_saundersi,0.006500583040699664,0.0001337976098439903,0.025272598768911327
Puluwat,Micronesia,Hydroprogne_caspia,0.0038372044204100773,9.123992313422058e-5,0.014351590761976245
Puluwat,Micronesia,Sterna_dougallii,0.003682655626097716,9.060646962702659e-5,0.013647803182736694
Puluwat,Micronesia,Sterna_sumatrana,0.43727102589443795,0.19497075356366317,0.6976368419968121
Puluwat,Micronesia,Thalasseus_bergii,0.6821982606782171,0.4103267506189201,0.8908530615403488
Puluwat,Micronesia,Thalasseus_bengalensis,0.0034739725741770727,8.6060398129817e-5,0.013169300007999792
Puluwat,Micronesia,Phaethon_lepturus,0.08266717552616643,0.02423985687926621,0.18129964467998286
Puluwat,Micronesia,Phaethon_rubricauda,0.08061844603859777,0.030685472850724135,0.15534255274023362
Puluwat,Micronesia,Phoebastria_immutabilis,0.007079335131629924,0.0005028050418274129,0.023482902973512777
Puluwat,Micronesia,Phoebastria_nigripes,0.007498670470107444,0.0007306534751682057,0.02246715956616983
Puluwat,Micronesia,Phoebastria_albatrus,0.0032940576401117205,7.44287408735253e-5,0.012461753658923061
Puluwat,Micronesia,Nesofregetta_fuliginosa,0.0028632904268466202,9.551973657793629e-5,0.010655901512890562
Puluwat,Micronesia,Hydrobates_tristrami,0.002552040385184667,4.534443584012505e-5,0.010075459502150682
Puluwat,Micronesia,Pterodroma_neglecta,0.0038096773427240883,9.956029887114351e-5,0.014150658374091633
Puluwat,Micronesia,Pterodroma_heraldica,0.01045365611085386,0.000317052421396587,0.036689316227923215
Puluwat,Micronesia,Pterodroma_ultima,0.003230560127968225,6.107623499224894e-5,0.012491681013542422
Puluwat,Micronesia,Pterodroma_hypoleuca,0.00255175011651265,5.8255897981486327e-5,0.009823890977068653
Puluwat,Micronesia,Pterodroma_alba,0.001416390945505831,3.7809053464072745e-5,0.005226068709327568
Puluwat,Micronesia,Bulweria_bulwerii,0.005240695607462574,0.0002975621778509523,0.017984879010748998
Puluwat,Micronesia,Ardenna_pacifica,0.026741753821549686,0.006362252468584204,0.06342710521082737
Puluwat,Micronesia,Puffinus_nativitatis,0.0050246427415674855,0.0004916733410938431,0.015662150994485705
Puluwat,Micronesia,Puffinus_bailloni,0.0012285286580432687,1.909517456754633e-5,0.005001262239191366
Puluwat,Micronesia,Fregata_ariel,0.04308551196801553,0.008370944585888761,0.10862524001655287
Puluwat,Micronesia,Fregata_minor,0.40926360531586486,0.17838351909657946,0.6637814819516275
