atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Huvadhu,0.625,0.1188,0.3208,0.0976,0.554,0.4042,0.1216,0.2486,0.0976,0.1232,0.2392,0.2918,0.6058,0.5084,0.5202,0.4838,0.1318,0.094,0.043,0.09,0.0938,0.0862,0.054,0.2292,0.138,0.1028,0.0816,0.0756,0.2572,0.093,0.2126,0.2534,0.313,0.106,0.0656,0.291,0.4586
Ifalik,0.9152,0.8928,0.0356,0.0618,0.863,0.4426,0.0804,0.0386,0.043,0.046,0.0614,0.068,0.7212,0.7552,0.0396,0.29,0.1238,0.0578,0.059,0.0412,0.0458,0.04,0.058,0.0596,0.048,0.0544,0.0414,0.0526,0.14,0.082,0.0378,0.1734,0.643,0.1224,0.0574,0.4634,0.6014
Ihavandhippolu,0.5458,0.094,0.224,0.0848,0.445,0.4106,0.0574,0.1662,0.07,0.0782,0.2194,0.2736,0.5986,0.4374,0.281,0.4822,0.1028,0.0612,0.0568,0.0616,0.0578,0.06,0.0614,0.1348,0.1116,0.093,0.0826,0.0554,0.212,0.0916,0.1518,0.179,0.2972,0.1204,0.0774,0.1876,0.4736
Kalpeni,0.653,0.1528,0.3042,0.135,0.5426,0.5218,0.0762,0.2328,0.092,0.1016,0.298,0.373,0.6886,0.5548,0.2474,0.6114,0.1706,0.0752,0.139,0.0842,0.0928,0.0936,0.1436,0.1522,0.1354,0.1376,0.1684,0.083,0.328,0.1476,0.2058,0.2512,0.3844,0.0912,0.057,0.233,0.59
Katiu,0.8938,0.7526,0.0262,0.1434,0.871,0.2436,0.1982,0.0286,0.0216,0.0312,0.0156,0.0166,0.0502,0.152,0.0464,0.0824,0.416,0.047,0.028,0.0382,0.035,0.0448,0.0446,0.038,0.0752,0.0396,0.0342,0.0574,0.0744,0.059,0.0484,0.2762,0.2786,0.2782,0.0342,0.502,0.5326
Kiltan,0.6234,0.1418,0.2846,0.1192,0.5014,0.488,0.0512,0.2112,0.0858,0.0926,0.254,0.3242,0.6592,0.5134,0.167,0.5688,0.1896,0.0566,0.1682,0.0722,0.0756,0.0828,0.1594,0.0998,0.1154,0.1114,0.1608,0.069,0.3056,0.1308,0.1884,0.2268,0.3478,0.1078,0.0608,0.1974,0.5542
Kolhumadulu,0.5366,0.0844,0.2372,0.079,0.4554,0.3762,0.071,0.1738,0.0726,0.0984,0.2214,0.2668,0.573,0.4422,0.3274,0.4548,0.0986,0.0628,0.0422,0.0678,0.0578,0.0646,0.052,0.19,0.1114,0.0892,0.0794,0.052,0.2008,0.0766,0.161,0.196,0.2858,0.1154,0.0778,0.2102,0.4252
Kuop,0.7958,0.6372,0.0152,0.0182,0.7022,0.1136,0.0378,0.019,0.026,0.0374,0.0136,0.0118,0.3048,0.589,0.0294,0.0776,0.1014,0.033,0.0156,0.0258,0.0244,0.0148,0.0186,0.0204,0.0232,0.0164,0.0114,0.0208,0.0414,0.0142,0.0186,0.0816,0.2654,0.1588,0.0782,0.357,0.1978
Lamotrek,0.8832,0.8418,0.029,0.0404,0.8092,0.344,0.0546,0.0254,0.0286,0.035,0.0382,0.0428,0.6342,0.6926,0.0344,0.2172,0.084,0.0416,0.0308,0.0284,0.0348,0.0288,0.0374,0.0414,0.039,0.0392,0.0252,0.0332,0.0924,0.0532,0.025,0.1258,0.5556,0.1432,0.0738,0.4058,0.501
Laualau,0.4652,0.325,0.0494,0.0214,0.3498,0.0738,0.0528,0.0886,0.1738,0.061,0.0288,0.0402,0.2242,0.2422,0.062,0.1252,0.1564,0.061,0.0288,0.0728,0.0494,0.0366,0.0178,0.1108,0.0396,0.0294,0.0344,0.032,0.0848,0.0194,0.0438,0.3152,0.1444,0.2468,0.129,0.3848,0.2106
