species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Thalasseus_bergii,14257.743255802612,12017.27840060355,20600.804824810377,2376.2905426337693,2002.8797334339254,3433.467470801733,2077.5568744169523,1751.0891383736605,3001.831560186657,3.8242536525723343e6,3.2233096074852617e6,5.525608203468521e6
Phaethon_lepturus,7525.464592750024,6932.355610200424,10279.98668797696,1254.24409879167,1155.3926017000701,1713.3311146628257,1096.567697800717,1010.1432460577757,1497.940917390927,1.0264860430010678e6,945584.9790119742,1.402207495283559e6
Phaethon_rubricauda,54255.279805322694,48229.24611145937,72924.06209040522,9042.546634220445,8038.207685243222,12154.01034840086,7905.769343061305,7027.69014766979,10626.077618887608,1.132608082104652e7,1.0068113948662058e7,1.5223289309327554e7
Nesofregetta_fuliginosa,28.310661808218725,25.488813839987486,170.97136823229886,4.718443634703119,4.248135639997914,28.495228038716476,0.0,0.0,0.0,22314.151090630818,20090.001674963616,134757.74493550902
Pterodroma_neglecta,35105.84766779076,34990.427574601665,37276.85538573308,5850.974611298462,5831.737929100279,6212.809230955514,5115.423517306654,5098.605160870528,5431.770356206819,1.060798457175969e7,1.0573107915898612e7,1.1264001101969643e7
Pterodroma_heraldica,21627.967423869624,19335.218493551132,136576.6338585548,3604.661237311604,3222.5364155918555,22762.772309759133,3151.5038246210024,2817.417551917451,19901.166647960843,1.5425257743766502e7,1.3790048919063177e7,9.740766377885099e7
Pterodroma_ultima,241673.77004712285,239142.9377217715,274642.3799142863,40278.96167452048,39857.15628696192,45773.729985714395,35215.320778295034,34846.54235374384,40019.318216081716,6.71652792357427e7,6.646191759331903e7,7.632782048840135e7
Ardenna_pacifica,81623.83368834815,81173.394472219,84256.13317035818,13603.972281391356,13528.899078703163,14042.68886172636,0.0,0.0,0.0,1.0346671393894908e8,1.028957352993024e8,1.0680342780302298e8
Puffinus_nativitatis,11818.002219481576,11171.035505967042,19790.703409125996,1969.667036580263,1861.8392509945074,3298.4505681876667,0.0,0.0,0.0,3.1919187865801654e6,3.0171798443455063e6,5.345261985743349e6
Fregata_ariel,331955.1680674959,307865.8722436288,409075.17135720514,55325.86134458264,51310.97870727145,68179.19522620083,48370.61020412082,44860.45566978589,59608.09639776415,6.369952132569161e7,5.9076979607222825e7,7.849822840047164e7
Fregata_minor,147865.06338384913,128854.07689140618,194429.6527687554,24644.177230641537,21475.67948190103,32404.94212812591,21546.052093075174,18775.879775604906,28331.177974875787,3.098949862006964e7,2.700518396053204e7,4.0748485939080104e7
Sula_dactylatra,367695.01950921415,363548.10634544,384527.7711557277,61282.5032515357,60591.35105757337,64087.96185928797,53578.417128485475,52974.15263890698,56031.18951126317,6.296677505407545e7,6.22566274194932e7,6.584933813007756e7
Sula_leucogaster,167821.70683879053,150783.06580827088,213104.26947591658,27970.284473131742,25130.510968045142,35517.378245986096,24454.02013936662,21971.24673206233,31052.33640934784,3.0003975161108874e7,2.695772463792807e7,3.809981037925985e7
Sula_sula,827225.3565576728,670088.8266153791,1.194593964500273e6,137870.89275961203,111681.47110256313,199098.99408337893,120538.55195554654,97641.51473538381,174069.40625575415,1.455944834618253e8,1.1793791838125914e8,2.1025261112859216e8
Sternula_nereis,11.25353284031296,11.25353284031296,11.25353284031296,1.8755888067188269,1.8755888067188269,1.8755888067188269,1.63980049958846,1.63980049958846,1.63980049958846,2201.535,2201.535,2201.535
Sternula_saundersi,0.8908731998621068,0.8908731998621068,0.8908731998621068,0.14847886664368448,0.14847886664368448,0.14847886664368448,0.12981295197990697,0.12981295197990697,0.12981295197990697,148.75,148.75,148.75
Sterna_dougallii,133.16267725217966,133.16267725217966,133.16267725217966,22.193779542029947,22.193779542029947,22.193779542029947,19.40370439960332,19.40370439960332,19.40370439960332,34025.6,34025.6,34025.6
Thalasseus_bengalensis,820.1063727203859,820.1063727203859,820.1063727203859,136.68439545339768,136.68439545339768,136.68439545339768,119.50121431068479,119.50121431068479,119.50121431068479,192384.5,192384.5,192384.5
Phoebastria_immutabilis,8.833650783814851e6,8.833650783814851e6,8.833650783814851e6,1.4722751306358087e6,1.4722751306358087e6,1.4722751306358087e6,1.287189114213021e6,1.287189114213021e6,1.287189114213021e6,1.76522961013e9,1.76522961013e9,1.76522961013e9
Phoebastria_nigripes,754589.3174222915,754589.3174222915,754589.3174222915,125764.88623704859,125764.88623704859,125764.88623704859,109954.4433958196,109954.4433958196,109954.4433958196,1.5110050788e8,1.5110050788e8,1.5110050788e8
Phoebastria_albatrus,25.81058587448651,25.81058587448651,25.81058587448651,4.301764312414418,4.301764312414418,4.301764312414418,3.760971084568034,3.760971084568034,3.760971084568034,6175.4,6175.4,6175.4
Hydrobates_tristrami,158.46524035020502,158.46524035020502,158.46524035020502,26.41087339170084,26.41087339170084,26.41087339170084,0.0,0.0,0.0,177130.8,177130.8,177130.8
Pterodroma_hypoleuca,112594.81400656205,112594.81400656205,112594.81400656205,18765.802334427015,18765.802334427015,18765.802334427015,0.0,0.0,0.0,5.192572e7,5.192572e7,5.192572e7
Pterodroma_alba,1133.1133275525808,1133.1133275525808,1133.1133275525808,188.85222125876345,188.85222125876345,188.85222125876345,165.11079915766175,165.11079915766175,165.11079915766175,566743.8,566743.8,566743.8
Bulweria_bulwerii,747.7497874272892,747.7497874272892,747.7497874272892,124.62496457121487,124.62496457121487,124.62496457121487,108.95782616797644,108.95782616797644,108.95782616797644,125779.5,125779.5,125779.5
Puffinus_bailloni,769.0391550627068,769.0391550627068,769.0391550627068,128.17319251045117,128.17319251045117,128.17319251045117,0.0,0.0,0.0,928310.6,928310.6,928310.6
Sula_granti,380.5006619703311,380.5006619703311,380.5006619703311,63.41677699505519,63.41677699505519,63.41677699505519,55.44438217281968,55.44438217281968,55.44438217281968,90935.25,90935.25,90935.25
