species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Thalasseus_bergii,14607.548628113213,12439.666552610406,31565.812154527997,2434.5914380188697,2073.2777587684013,5260.968692421331,2128.528514382211,1812.6371262375162,4599.5897710883655,3.9180794740047557e6,3.336603794660226e6,8.466674582545668e6
Phaethon_lepturus,7553.341460666772,6986.568646238457,23809.473919749635,1258.8902434444617,1164.428107706409,3968.2456532916067,1100.6297556971576,1018.0428598804606,3469.380485449231,1.0302884947283266e6,952979.72841992,3.247652336756237e6
Phaethon_rubricauda,54714.61584694704,49216.74430720854,87023.43646066976,9119.102641157835,8202.790717868083,14503.906076778292,7972.701166269424,7171.582741907527,12680.557884269021,1.142196968476862e7,1.0274259496446984e7,1.8166609373601593e7
Nesofregetta_fuliginosa,28.058598927167605,25.490283707494743,3632.0502501928754,4.676433154527933,4.24838061791579,605.3417083654791,0.0,0.0,0.0,22115.477910532936,20091.160208305657,2.8627419097648654e6
Pterodroma_neglecta,35158.82156777109,34993.72053344272,71943.46331045899,5859.803594628516,5832.286755573788,11990.577218409835,5123.142571303787,5099.084992015939,10483.190368095453,1.0623991771443771e7,1.0574102954016246e7,2.173925996769232e7
Pterodroma_heraldica,21694.884596102464,19346.94571028024,571358.6940905299,3615.8140993504103,3224.4909517133733,95226.44901508834,3161.2546125749304,2819.1263749265495,83255.12399604866,1.5472983663125727e7,1.3798412873803731e7,4.074980763454193e8
Pterodroma_ultima,241740.67704985186,239257.39159036486,363707.1466163772,40290.112841641974,39876.231931727474,60617.857769396214,35225.07008440697,34863.21991745315,52997.3270783864,6.718387383754928e7,6.649372628336505e7,1.0108044434346764e8
Ardenna_pacifica,81527.93030673996,81202.76477475578,85981.69318556052,13587.988384456654,13533.794129125958,14330.282197593415,0.0,0.0,0.0,1.0334514641017406e8,1.0293296521798612e8,1.0899075491582577e8
Puffinus_nativitatis,12002.948524834585,11190.779621897975,124485.62298405865,2000.4914208057644,1865.1299369829962,20747.603830676435,0.0,0.0,0.0,3.2418708491708897e6,3.022512523540681e6,3.3622264684206754e7
Fregata_ariel,331876.37740373553,310660.9225916846,490856.32025070314,55312.72956728924,51776.820431947424,81809.3867084505,48359.12927883002,45267.73443478831,71524.7780936739,6.368440203233737e7,5.961332724202201e7,9.419137174964134e7
Fregata_minor,145598.36087071185,130915.5913187549,204296.1885957178,24266.393478451984,21819.265219792487,34049.364765952974,21215.7611554466,19076.27187787572,29768.87319537603,3.0514444048046585e7,2.743723529868847e7,4.28163104230881e7
Sula_dactylatra,366588.14303597284,363859.1863336734,386606.8732128028,61098.02383932883,60643.197722278936,64434.478868800485,53417.12941381318,53019.481437192415,56334.14438243697,6.277722545942427e7,6.230989902395785e7,6.6205378719686456e7
Sula_leucogaster,169819.40901354552,153883.939728733,250604.81358996575,28303.23483559091,25647.323288122174,41767.46893166098,24745.11388483092,22423.088360472524,36516.701408823596,3.0361134002832606e7,2.7512113851575203e7,4.480433874642055e7
Sula_sula,828091.2609754861,695460.3159657875,1.443745003821549e6,138015.21016258097,115910.0526609645,240624.16730359156,120664.72659928506,101338.50318358614,210374.27198542573,1.4574688559195763e8,1.2240338701969828e8,2.5410404361478806e8
Sternula_nereis,11.25353284031296,11.25353284031296,11.25353284031296,1.8755888067188269,1.8755888067188269,1.8755888067188269,1.63980049958846,1.63980049958846,1.63980049958846,2201.535,2201.535,2201.535
Sternula_saundersi,0.8908731998621068,0.8908731998621068,0.8908731998621068,0.14847886664368448,0.14847886664368448,0.14847886664368448,0.12981295197990697,0.12981295197990697,0.12981295197990697,148.75,148.75,148.75
Sterna_dougallii,133.16267725217966,133.16267725217966,133.16267725217966,22.193779542029947,22.193779542029947,22.193779542029947,19.40370439960332,19.40370439960332,19.40370439960332,34025.6,34025.6,34025.6
Thalasseus_bengalensis,820.1063727203859,820.1063727203859,820.1063727203859,136.68439545339768,136.68439545339768,136.68439545339768,119.50121431068479,119.50121431068479,119.50121431068479,192384.5,192384.5,192384.5
Phoebastria_immutabilis,8.833650783814851e6,8.833650783814851e6,8.833650783814851e6,1.4722751306358087e6,1.4722751306358087e6,1.4722751306358087e6,1.287189114213021e6,1.287189114213021e6,1.287189114213021e6,1.76522961013e9,1.76522961013e9,1.76522961013e9
Phoebastria_nigripes,754589.3174222915,754589.3174222915,754589.3174222915,125764.88623704859,125764.88623704859,125764.88623704859,109954.4433958196,109954.4433958196,109954.4433958196,1.5110050788e8,1.5110050788e8,1.5110050788e8
Phoebastria_albatrus,25.81058587448651,25.81058587448651,25.81058587448651,4.301764312414418,4.301764312414418,4.301764312414418,3.760971084568034,3.760971084568034,3.760971084568034,6175.4,6175.4,6175.4
Hydrobates_tristrami,158.46524035020502,158.46524035020502,158.46524035020502,26.41087339170084,26.41087339170084,26.41087339170084,0.0,0.0,0.0,177130.8,177130.8,177130.8
Pterodroma_hypoleuca,112594.81400656205,112594.81400656205,112594.81400656205,18765.802334427015,18765.802334427015,18765.802334427015,0.0,0.0,0.0,5.192572e7,5.192572e7,5.192572e7
