atoll,region,species,nbirds
Abariringa,Polynesia,Onychoprion_fuscatus,100.0
Ailinginae,Micronesia,Onychoprion_fuscatus,7000.0
Ant,Micronesia,Onychoprion_fuscatus,200.0
Bellona,Melanesia,Onychoprion_fuscatus,20000.0
Bikar,Micronesia,Onychoprion_fuscatus,52000.0
Bokaak,Micronesia,Onychoprion_fuscatus,17500.0
Byramgore,Indian_Ocean,Onychoprion_fuscatus,650.0
Caroline,Polynesia,Onychoprion_fuscatus,1.0e6
Cherbaniani,Indian_Ocean,Onychoprion_fuscatus,5000.0
Chesterfield,Melanesia,Onychoprion_fuscatus,249154.0
Clipperton,Polynesia,Onychoprion_fuscatus,200.0
Cocos,Indian_Ocean,Onychoprion_fuscatus,70.0
Cosmoledo,Indian_Ocean,Onychoprion_fuscatus,2.331e6
Ducie,Polynesia,Onychoprion_fuscatus,200.0
Enderbury,Polynesia,Onychoprion_fuscatus,400000.0
Eniwetok,Micronesia,Onychoprion_fuscatus,16000.0
Europa,Indian_Ocean,Onychoprion_fuscatus,3.0e6
Fangataufa,Polynesia,Onychoprion_fuscatus,50.0
Farquhar,Indian_Ocean,Onychoprion_fuscatus,561200.0
French_Frigate_Shoals,Polynesia,Onychoprion_fuscatus,300000.0
Glorioso,Indian_Ocean,Onychoprion_fuscatus,540000.0
Great_Chagos_Bank,Indian_Ocean,Onychoprion_fuscatus,104000.0
Helen,Micronesia,Onychoprion_fuscatus,80000.0
Johnston,Polynesia,Onychoprion_fuscatus,330000.0
Kademat,Indian_Ocean,Onychoprion_fuscatus,9560.0
Kauehi,Polynesia,Onychoprion_fuscatus,106514.0
Kavaratti,Indian_Ocean,Onychoprion_fuscatus,2.0
Kiritimati,Polynesia,Onychoprion_fuscatus,1.0e6
Kure,Polynesia,Onychoprion_fuscatus,20000.0
Laysan,Polynesia,Onychoprion_fuscatus,850000.0
Lisianski,Polynesia,Onychoprion_fuscatus,1.0e6
Malden,Polynesia,Onychoprion_fuscatus,500000.0
Manra,Polynesia,Onychoprion_fuscatus,8000.0
Maupihaa,Polynesia,Onychoprion_fuscatus,546022.0
McKean,Polynesia,Onychoprion_fuscatus,500.0
Midway,Polynesia,Onychoprion_fuscatus,200000.0
Nikumaroro,Polynesia,Onychoprion_fuscatus,9.0
Nukunonu,Polynesia,Onychoprion_fuscatus,3200.0
Orona,Polynesia,Onychoprion_fuscatus,1.2e6
Palmyra,Polynesia,Onychoprion_fuscatus,876000.0
Pearl_and_Hermes,Polynesia,Onychoprion_fuscatus,80000.0
Peros_Banhos,Indian_Ocean,Onychoprion_fuscatus,290000.0
Rawaki,Polynesia,Onychoprion_fuscatus,1.2e6
Rose,Polynesia,Onychoprion_fuscatus,135000.0
Sorol,Micronesia,Onychoprion_fuscatus,120.0
Starbuck,Polynesia,Onychoprion_fuscatus,3.0e6
Surprise,Melanesia,Onychoprion_fuscatus,26774.0
Suwarrow,Polynesia,Onychoprion_fuscatus,176088.0
Swains,Polynesia,Onychoprion_fuscatus,27.0
Taka,Micronesia,Onychoprion_fuscatus,74000.0
Tekokota,Polynesia,Onychoprion_fuscatus,754.0
Tubbataha,Micronesia,Onychoprion_fuscatus,6000.0
Wake,Micronesia,Onychoprion_fuscatus,50000.0
Abariringa,Polynesia,Onychoprion_lunatus,4000.0
Birnie,Polynesia,Onychoprion_lunatus,600.0
Caroline,Polynesia,Onychoprion_lunatus,3000.0
Enderbury,Polynesia,Onychoprion_lunatus,1000.0
French_Frigate_Shoals,Polynesia,Onychoprion_lunatus,2000.0
Johnston,Polynesia,Onychoprion_lunatus,1200.0
Kiritimati,Polynesia,Onychoprion_lunatus,1700.0
Kure,Polynesia,Onychoprion_lunatus,50.0
Laysan,Polynesia,Onychoprion_lunatus,15000.0
Lisianski,Polynesia,Onychoprion_lunatus,35000.0
Malden,Polynesia,Onychoprion_lunatus,14000.0
Manra,Polynesia,Onychoprion_lunatus,1200.0
McKean,Polynesia,Onychoprion_lunatus,800.0
Midway,Polynesia,Onychoprion_lunatus,2000.0
Pearl_and_Hermes,Polynesia,Onychoprion_lunatus,1400.0
Rawaki,Polynesia,Onychoprion_lunatus,6000.0
Rose,Polynesia,Onychoprion_lunatus,6.0
Wake,Micronesia,Onychoprion_lunatus,60.0
Diego_Garcia,Indian_Ocean,Onychoprion_anaethetus,16.0
Great_Chagos_Bank,Indian_Ocean,Onychoprion_anaethetus,64.0
Huon,Melanesia,Onychoprion_anaethetus,41.0
Peros_Banhos,Indian_Ocean,Onychoprion_anaethetus,52.0
Surprise,Melanesia,Onychoprion_anaethetus,2.0
Chesterfield,Melanesia,Sternula_nereis,82.0
Diego_Garcia,Indian_Ocean,Sternula_saundersi,10.0
Aldabra,Indian_Ocean,Hydroprogne_caspia,25.0
Europa,Indian_Ocean,Hydroprogne_caspia,30.0
Chesterfield,Melanesia,Sterna_dougallii,12.0
Farquhar,Indian_Ocean,Sterna_dougallii,134.0
Ouvéa,Melanesia,Sterna_dougallii,2.0
Peros_Banhos,Indian_Ocean,Sterna_dougallii,14.0
Saloman,Indian_Ocean,Sterna_dougallii,6.0
St_Joseph,Indian_Ocean,Sterna_dougallii,700.0
Ailinginae,Micronesia,Sterna_sumatrana,14.0
Aldabra,Indian_Ocean,Sterna_sumatrana,220.0
Ant,Micronesia,Sterna_sumatrana,18.0
Atafu,Polynesia,Sterna_sumatrana,60.0
Bellona,Melanesia,Sterna_sumatrana,57.0
Bikar,Micronesia,Sterna_sumatrana,21.0
Bikini,Micronesia,Sterna_sumatrana,110.0
Bokaak,Micronesia,Sterna_sumatrana,25.0
Butaritari,Micronesia,Sterna_sumatrana,60.0
Chesterfield,Melanesia,Sterna_sumatrana,310.0
Cosmoledo,Indian_Ocean,Sterna_sumatrana,150.0
Diego_Garcia,Indian_Ocean,Sterna_sumatrana,12.0
Egmont,Indian_Ocean,Sterna_sumatrana,140.0
Eniwetok,Micronesia,Sterna_sumatrana,408.0
Erikub,Micronesia,Sterna_sumatrana,25.0
Fakaofo,Polynesia,Sterna_sumatrana,40.0
Farquhar,Indian_Ocean,Sterna_sumatrana,224.0
Funafuti,Polynesia,Sterna_sumatrana,60.0
Great_Chagos_Bank,Indian_Ocean,Sterna_sumatrana,44.0
