species,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Thalasseus_bergii,14525.820074247898,11990.78478182312,24499.188088105468,2420.9700123746507,1998.4641303038536,4083.198014684247,2116.6194965332656,1747.2286396370835,3569.8816928382266,3.896158001929455e6,3.216203411464395e6,6.57124397950311e6
Phaethon_lepturus,7733.901393093727,6926.1776055883975,20398.564603188184,1288.9835655156207,1154.3629342647325,3399.760767198031,1126.939917279371,1009.2430225285948,2972.362270750276,1.054917173566314e6,944742.2887794069,2.782398562156629e6
Phaethon_rubricauda,54851.37779908951,48202.8414984905,77366.68129413392,9141.896299848248,8033.8069164150775,12894.44688235565,7992.629336438756,7023.84261835147,11273.430702859512,1.1450519476213207e7,1.0062601844004098e7,1.6150709909481362e7
Nesofregetta_fuliginosa,35.989586557864584,25.488811714931675,4662.912592284293,5.998264426310764,4.248135285821945,777.1520987140486,0.0,0.0,0.0,28366.594803813074,20090.000000018088,3.6752562271939125e6
Pterodroma_neglecta,35053.44364176167,34990.34943906498,37199.15357623306,5842.2406069602785,5831.724906510831,6199.858929372178,5107.787502085271,5098.593775406611,5420.448092536816,1.059214957170855e7,1.057308430557091e7,1.1240521834236983e7
Pterodroma_heraldica,21654.106164785717,19335.159507766322,241216.84967152297,3609.017694130953,3222.5265846277202,40202.80827858717,3155.312612583062,2817.4089568459503,35148.7409521362,1.5443900125078917e7,1.3790006849879509e7,1.7203799161525175e8
Pterodroma_ultima,241830.1951493938,239141.01506701577,302865.46792309737,40305.032524898976,39856.83584450264,50477.5779871829,35238.11415034023,34846.26219547943,44131.82532593704,6.720875245036365e7,6.6461383254637934e7,8.417149995199029e7
Ardenna_pacifica,81529.34348178993,81168.06269368491,84157.01450739567,13588.223913631651,13528.010448947482,14026.16908456594,0.0,0.0,0.0,1.0334693775679472e8,1.0288897671446945e8,1.0667778457011737e8
Puffinus_nativitatis,12464.144009764024,11171.100065854234,89790.39864543668,2077.3573349606713,1861.850010975706,14965.066440906114,0.0,0.0,0.0,3.3664349256782983e6,3.017197281295759e6,2.425144749240571e7
Fregata_ariel,330978.7779902907,306785.62524406484,426302.02838705346,55163.129665048444,51130.93754067746,71050.33806450889,48228.33622144235,44703.04824984944,62118.29556497063,6.351215993919113e7,5.886968891436714e7,8.180392342289208e7
